"model","length","year","price","url"
"45 ft 1992 Amel Santorin","45","1992","171837","https://au.yachtworld.com/boats/1992/amel-santorin-3618366/"
"45 ft 1993 Amel Santorin","45","1993","193112","https://au.yachtworld.com/boats/1993/amel-santorin-3591528/"
"45 ft 1993 Amel SANTORIN KECTH","45","1993","193112","https://au.yachtworld.com/boats/1993/amel-santorin-kecth-3215875/"
"45 ft 1992 Amel Santorin","45","1992","196385","https://au.yachtworld.com/boats/1992/amel-santorin-3234723/"
"45 ft 1994 Amel Santorin 46","45","1994","217660","https://au.yachtworld.com/boats/1994/amel-santorin-46-3503687/"
"45 ft 1994 Amel Santorin","45","1994","237299","https://au.yachtworld.com/boats/1994/amel-santorin-3501355/"
"52 ft 1990 Amel Super Maramu","52","1990","310943","https://au.yachtworld.com/boats/1990/amel-super-maramu-3651041/"
"52 ft 1993 Amel Super Maramu","52","1993","325672","https://au.yachtworld.com/boats/1993/amel-super-maramu-3588952/"
"52 ft 2000 Amel Super Maramu 2000","52","2000","325672","https://au.yachtworld.com/boats/2000/amel-super-maramu-2000-3598067/"
"53 ft 1995 Amel Super Maramu","53","1995","346998","https://au.yachtworld.com/boats/1995/amel-super-maramu-3560566/"
"52 ft 1995 Amel Super Maramu","52","1995","346998","https://au.yachtworld.com/boats/1995/amel-super-maramu-3560568/"
"53 ft 1999 Amel Super Maramu 2000","53","1999","347013","https://au.yachtworld.com/boats/1999/amel-super-maramu-2000-3649780/"
"52 ft 1995 Amel Super Maramu","52","1995","360039","https://au.yachtworld.com/boats/1995/amel-super-maramu-3614716/"
"52 ft 1999 Amel Super Maramu 2000","52","1999","368222","https://au.yachtworld.com/boats/1999/amel-super-maramu-2000-3614966/"
"53 ft 1998 Amel Super Maramu Classic Ketch","53","1998","369644","https://au.yachtworld.com/boats/1998/amel-super-maramu-classic-ketch-3574071/"
"52 ft 2000 Amel Super Maramu","52","2000","376405","https://au.yachtworld.com/boats/2000/amel-super-maramu-3653263/"
"48 ft 1997 Amel Super Maramu","48","1997","384587","https://au.yachtworld.com/boats/1997/amel-super-maramu-3651503/"
"52 ft 2000 Amel Super Maramu 2000","52","2000","372148","https://au.yachtworld.com/boats/2000/amel-super-maramu-2000-3612348/"
"52 ft 1992 Amel Super Maramu","52","1992","386224","https://au.yachtworld.com/boats/1992/amel-super-maramu-3654692/"
"52 ft 2001 Amel Super Maramu","52","2001","392275","https://au.yachtworld.com/boats/2001/amel-super-maramu-3547217/"
"52 ft 2001 Amel Super Maramu 2000","52","2001","392275","https://au.yachtworld.com/boats/2001/amel-super-maramu-2000-3615212/"
"53 ft 2003 Amel Super Maramu 2000","53","2003","392770","https://au.yachtworld.com/boats/2003/amel-super-maramu-2000-3549244/"
"52 ft 2003 Amel Super Maramu 2000","52","2003","392770","https://au.yachtworld.com/boats/2003/amel-super-maramu-2000-3598052/"
"53 ft 2003 Amel Super Maramu 2000","53","2003","407499","https://au.yachtworld.com/boats/2003/amel-super-maramu-2000-3202407/"
"52 ft 1992 Amel Super Maramu","52","1992","413398","https://au.yachtworld.com/boats/1992/amel-super-maramu-3179238/"
"52 ft 2002 Amel Super Maramu 2000","52","2002","401370","https://au.yachtworld.com/boats/2002/amel-super-maramu-2000-3597700/"
"52 ft 1996 Amel Supermaramu","52","1996","417318","https://au.yachtworld.com/boats/1996/amel-supermaramu-3198401/"
"52 ft 2001 Amel Super Maramu 2000","52","2001","417318","https://au.yachtworld.com/boats/2001/amel-super-maramu-2000-2936503/"
"52 ft 2003 Amel super maramu 2000 red line","52","2003","422228","https://au.yachtworld.com/boats/2003/amel-super-maramu-2000-red-line-3611275/"
"52 ft 2003 Amel super maramu 2000 red line","52","2003","423864","https://au.yachtworld.com/boats/2003/amel-super-maramu-2000-red-line-3612199/"
"52 ft 2004 Amel Super Maramu 2000","52","2004","425501","https://au.yachtworld.com/boats/2004/amel-super-maramu-2000-3545645/"
"52 ft 2003 Amel Super Maramu 2000","52","2003","425501","https://au.yachtworld.com/boats/2003/amel-super-maramu-2000-3143777/"
"52 ft 2004 Amel Super Maramu 2000 Red Line","52","2004","431976","https://au.yachtworld.com/boats/2004/amel--super-maramu-2000-red-line-3245998/"
"53 ft 2001 Amel Super Maramu 2000","53","2001","437538","https://au.yachtworld.com/boats/2001/amel-super-maramu-2000-3541294/"
"52 ft 2004 Amel Super Maramu 2000","52","2004","440230","https://au.yachtworld.com/boats/2004/amel-super-maramu-2000-3610651/"
"52 ft 2004 Amel super maramu 2000 red line","52","2004","440230","https://au.yachtworld.com/boats/2004/amel-super-maramu-2000-red-line-3557929/"
"52 ft 2003 Amel Super Maramu 2000","52","2003","441866","https://au.yachtworld.com/boats/2003/amel-super-maramu-2000-2932534/"
"52 ft 2001 Amel Super Maramu 2000","52","2001","445081","https://au.yachtworld.com/boats/2001/amel-super-maramu-2000-2943171/"
"53 ft 2001 Amel Super Maramu 2000","53","2001","450049","https://au.yachtworld.com/boats/2001/amel-super-maramu-2000-2563916/"
"52 ft 2004 Amel Super Maramu 2000","52","2004","456595","https://au.yachtworld.com/boats/2004/amel-super-maramu-2000-3605996/"
"53 ft 2002 Amel Super Maramu 2000","53","2002","526554","https://au.yachtworld.com/boats/2002/amel-super-maramu-2000-3643517/"
