"model","length","year","price","url"
"38 ft 1991 Bavaria 370 Caribic","38","1991","62189","https://au.yachtworld.com/boats/1991/bavaria-370-caribic-2610362/"
"43 ft 2004 Bavaria 32","43","2004","64643","https://au.yachtworld.com/boats/2004/bavaria-32-3648481/"
"38 ft 2002 Bavaria 38","38","2002","68442","https://au.yachtworld.com/boats/2002/bavaria-38-3648361/"
"42 ft 1999 Bavaria 42 Cruiser","42","1999","69553","https://au.yachtworld.com/boats/1999/bavaria-42-cruiser-3620312/"
"39 ft 1999 Bavaria 38","39","1999","69553","https://au.yachtworld.com/boats/1999/bavaria-38-3605627/"
"38 ft 2008 Bavaria 38 Cruiser","38","2008","69553","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-2969414/"
"39 ft 2001 Bavaria 40","39","2001","72008","https://au.yachtworld.com/boats/2001/bavaria-40-2268670/"
"41 ft 1998 Bavaria 41 Holiday","41","1998","73644","https://au.yachtworld.com/boats/1998/bavaria-41-holiday-3491506/"
"40 ft 1997 Bavaria 41 Holiday","40","1997","73644","https://au.yachtworld.com/boats/1997/bavaria-41-holiday-3546835/"
"38 ft 1991 Bavaria 390 Caribic","38","1991","73644","https://au.yachtworld.com/boats/1991/bavaria-390-caribic-2769299/"
"41 ft 2006 Bavaria 42 Match","41","2006","78554","https://au.yachtworld.com/boats/2006/bavaria-42-match-3578229/"
"38 ft 2003 Bavaria 38 / VAT paid","38","2003","81009","https://au.yachtworld.com/boats/2003/bavaria-38-vat-paid-3646705/"
"40 ft 2004 Bavaria 38-3 Cruiser","40","2004","81148","https://au.yachtworld.com/boats/2004/bavaria-38-3-cruiser-3470396/"
"38 ft 2008 Bavaria 38 Cruiser","38","2008","81500","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-3607523/"
"44 ft 2002 Bavaria 44","44","2002","78737","https://au.yachtworld.com/boats/2002/bavaria-44-3540678/"
"41 ft 2003 Bavaria 41","41","2003","81827","https://au.yachtworld.com/boats/2003/bavaria-41-3487760/"
"40 ft 2005 Bavaria 42 Match","40","2005","81827","https://au.yachtworld.com/boats/2005/bavaria-42-match-3648728/"
"39 ft 2002 Bavaria 40","39","2002","81827","https://au.yachtworld.com/boats/2002/bavaria-40-3653516/"
"39 ft 2007 Bavaria 39 Cruiser","39","2007","81827","https://au.yachtworld.com/boats/2007/bavaria-39-cruiser-3148132/"
"44 ft 2002 Bavaria 44 / VAT PAID","44","2002","81841","https://au.yachtworld.com/boats/2002/bavaria-44-vat-paid-3609430/"
"39 ft 2007 Bavaria 39 Cruiser","39","2007","83464","https://au.yachtworld.com/boats/2007/bavaria-39-cruiser-2948240/"
"40 ft 2001 Bavaria 40-2","40","2001","85918","https://au.yachtworld.com/boats/2001/bavaria-40-2-3200657/"
"42 ft 2000 Bavaria 42","42","2000","86737","https://au.yachtworld.com/boats/2000/bavaria-42-3542265/"
"40 ft 2008 Bavaria 40 Cruiser","40","2008","86737","https://au.yachtworld.com/boats/2008/bavaria-40-cruiser-3042929/"
"40 ft 2003 Bavaria 41","40","2003","86737","https://au.yachtworld.com/boats/2003/bavaria-41-3568015/"
"38 ft 2000 Bavaria 37 Cruiser","38","2000","87899","https://au.yachtworld.com/boats/2000/bavaria-37-cruiser-3250685/"
"38 ft 2000 Bavaria 38","38","2000","87899","https://au.yachtworld.com/boats/2000/bavaria-38-3217284/"
"39 ft 2004 Bavaria 38","39","2004","88373","https://au.yachtworld.com/boats/2004/bavaria-38-3527105/"
"38 ft 2004 Bavaria 38","38","2004","89192","https://au.yachtworld.com/boats/2004/bavaria-38-3242222/"
"39 ft 2005 Bavaria 39 Cruiser","39","2005","89928","https://au.yachtworld.com/boats/2005/bavaria-39-cruiser-3019915/"
"43 ft 1992 Bavaria 430 Caribic","43","1992","90010","https://au.yachtworld.com/boats/1992/bavaria-430-caribic-3654033/"
"40 ft 2002 Bavaria 40","40","2002","90010","https://au.yachtworld.com/boats/2002/bavaria-40-3157459/"
"40 ft 2004 Bavaria 38 Cruiser","40","2004","90010","https://au.yachtworld.com/boats/2004/bavaria-38-cruiser-2413521/"
"40 ft 2004 Bavaria 38 Cruiser","40","2004","90010","https://au.yachtworld.com/boats/2004/bavaria-38-cruiser-3137101/"
"39 ft 1994 Bavaria 39","39","1994","90010","https://au.yachtworld.com/boats/1994/bavaria-39-2775188/"
"39 ft 1991 Bavaria 390 Lagoon","39","1991","90010","https://au.yachtworld.com/boats/1991/bavaria-390-lagoon-3596292/"
"39 ft 2006 Bavaria 39 Cruiser","39","2006","90010","https://au.yachtworld.com/boats/2006/bavaria-39-cruiser-3492921/"
"38 ft 2004 Bavaria 38","38","2004","90010","https://au.yachtworld.com/boats/2004/bavaria-38-3225752/"
