"model","length","year","price","url"
"39 ft 2007 Beneteau Moorings 393","39","2007","37719","https://au.yachtworld.com/boats/2007/beneteau-moorings-393-3587457/"
"49 ft 2002 Beneteau 50","49","2002","40736","https://au.yachtworld.com/boats/2002/beneteau-50-3212768/"
"38 ft 1991 Beneteau First 38S5","38","1991","52806","https://au.yachtworld.com/boats/1991/beneteau-first-38-5-3470675/"
"38 ft 1992 Beneteau 38","38","1992","54768","https://au.yachtworld.com/boats/1992/beneteau-38-3236382/"
"41 ft 1990 Beneteau Oceanis 430","41","1990","55642","https://au.yachtworld.com/boats/1990/beneteau-oceanis-430-3641672/"
"44 ft 1992 Beneteau Oceanis 440","44","1992","64433","https://au.yachtworld.com/boats/1992/beneteau-oceanis-440-2382478/"
"40 ft 1996 Beneteau Oceanis 400","40","1996","67894","https://au.yachtworld.com/boats/1996/beneteau-oceanis-400-3614983/"
"39 ft 1991 Beneteau Oceanis 390","39","1991","72008","https://au.yachtworld.com/boats/1991/beneteau-oceanis-390-3651709/"
"49 ft 2010 Beneteau America Oceanis 50","49","2010","73644","https://au.yachtworld.com/boats/2010/beneteau-america-oceanis-50-3496851/"
"44 ft 1995 Beneteau Oceanis 440","44","1995","73644","https://au.yachtworld.com/boats/1995/beneteau-oceanis-440-3496854/"
"41 ft 1992 Beneteau First 41S5","41","1992","73644","https://au.yachtworld.com/boats/1992/beneteau-first-41-5-3018396/"
"38 ft 1992 Beneteau First 375","38","1992","73644","https://au.yachtworld.com/boats/1992/beneteau-first-375-3646759/"
"39 ft 1997 Beneteau Oceanis 400","39","1997","73925","https://au.yachtworld.com/boats/1997/beneteau-oceanis-400-2819830/"
"38 ft 1991 Beneteau Oceanis 390","38","1991","76264","https://au.yachtworld.com/boats/1991/beneteau-oceanis-390-3606742/"
"39 ft 1993 Beneteau Oceanis 400","39","1993","77242","https://au.yachtworld.com/boats/1993/beneteau-oceanis-400-3537505/"
"39 ft 1993 Beneteau Oceanis 400","39","1993","78554","https://au.yachtworld.com/boats/1993/beneteau-oceanis-400-3180400/"
"38 ft 2002 Beneteau Oceanis Clipper 393","38","2002","80191","https://au.yachtworld.com/boats/2002/beneteau-oceanis-clipper-393-3043621/"
"40 ft 1994 Beneteau First 40.7","40","1994","81009","https://au.yachtworld.com/boats/1994/beneteau-first-40-7-2847598/"
"39 ft 1994 Beneteau Oceanis 400","39","1994","81009","https://au.yachtworld.com/boats/1994/beneteau-oceanis-400-3603976/"
"38 ft 1990 Beneteau First 38S5","38","1990","81009","https://au.yachtworld.com/boats/1990/beneteau-first-38-5-3079189/"
"38 ft 1998 Beneteau 381","38","1998","81827","https://au.yachtworld.com/boats/1998/beneteau-381-3036990/"
"45 ft 1996 Beneteau 45F5 RA/CU","45","1996","85999","https://au.yachtworld.com/boats/1996/beneteau-45f5-ra-cu-3655052/"
"40 ft 1994 Beneteau First 40.7","40","1994","88373","https://au.yachtworld.com/boats/1994/beneteau-first-40-7-2605764/"
"43 ft 1990 Beneteau Oceanis 430","43","1990","89016","https://au.yachtworld.com/boats/1990/beneteau-oceanis-430-3548579/"
"38 ft 2002 Beneteau 393","38","2002","89016","https://au.yachtworld.com/boats/2002/beneteau-393-3583397/"
"39 ft 1998 Beneteau Oceanis 381","39","1998","90010","https://au.yachtworld.com/boats/1998/beneteau-381-3029551/"
"39 ft 2007 Beneteau Cyclades 39","39","2007","90010","https://au.yachtworld.com/boats/2007/beneteau-cyclades-39-3188158/"
"38 ft 2007 Beneteau Cyclades 39","38","2007","90010","https://au.yachtworld.com/boats/2007/beneteau-cyclades-39-3586263/"
"38 ft 1996 Beneteau Oceanis 381","38","1996","90010","https://au.yachtworld.com/boats/1996/beneteau-381-3050526/"
"38 ft 1998 Beneteau Oceanis 381 Clipper","38","1998","90010","https://au.yachtworld.com/boats/1998/beneteau-381-3012936/"
"41 ft 2004 Beneteau Oceanis 423 Clipper","41","2004","91646","https://au.yachtworld.com/boats/2004/beneteau-oceanis-clipper-423-3581396/"
"39 ft 2006 Beneteau Oceanis Clipper 393","39","2006","93283","https://au.yachtworld.com/boats/2006/beneteau-oceanis-clipper-393-2908966/"
"40 ft 1992 Beneteau Oceanis 400","40","1992","94101","https://au.yachtworld.com/boats/1992/beneteau-oceanis-400-3651660/"
"39 ft 1993 Beneteau 400 Oceanis","39","1993","94101","https://au.yachtworld.com/boats/1993/beneteau-400-oceanis-3538071/"
"43 ft 1995 Beneteau Oceanis 440","43","1995","93672","https://au.yachtworld.com/boats/1995/beneteau-oceanis-440-3618995/"
"39 ft 2006 Beneteau Oceanis 393 Clipper","39","2006","94919","https://au.yachtworld.com/boats/2006/beneteau-oceanis-393-clipper-2892731/"
"38 ft 1999 Beneteau Oceanis Clipper 381","38","1999","94919","https://au.yachtworld.com/boats/1999/beneteau-oceanis-clipper-381-3619913/"
"38 ft 1990 Beneteau MOORINGS OFFSHORE CRUISER","38","1990","95051","https://au.yachtworld.com/boats/1990/beneteau-moorings-offshore-cruiser-3012058/"
"39 ft 1994 Beneteau Oceanis 400","39","1994","96556","https://au.yachtworld.com/boats/1994/beneteau-oceanis-400-3484706/"
"39 ft 2003 Beneteau Oceanis 393 Clipper","39","2003","96556","https://au.yachtworld.com/boats/2003/beneteau-oceanis-clipper-393-3003410/"
"38 ft 1998 Beneteau Oceanis 381","38","1998","96556","https://au.yachtworld.com/boats/1998/beneteau-381-3157044/"
"38 ft 1999 Beneteau Oceanis 381","38","1999","96556","https://au.yachtworld.com/boats/1999/beneteau-381-3610857/"
"41 ft 1992 Beneteau FIRST 41S5","41","1992","97314","https://au.yachtworld.com/boats/1992/beneteau-first-41-5-2959552/"
"41 ft 1990 Beneteau FIRST 41S5","41","1990","97918","https://au.yachtworld.com/boats/1990/beneteau-first-41-5-3605150/"
"43 ft 1991 Beneteau Oceanis 430","43","1991","98069","https://au.yachtworld.com/boats/1991/beneteau-oceanis-430-3513863/"
"42 ft 1996 Beneteau First 42s7","42","1996","96947","https://au.yachtworld.com/boats/1996/beneteau-first-42s7-2774831/"
"41 ft 1990 Beneteau FIRST 41S5","41","1990","99578","https://au.yachtworld.com/boats/1990/beneteau-first-41-5-3562508/"
"41 ft 2000 Beneteau Oceanis Clipper 411","41","2000","101466","https://au.yachtworld.com/boats/2000/beneteau-oceanis-clipper-411-3013478/"
"40 ft 2001 Beneteau Oceanis 411","40","2001","103102","https://au.yachtworld.com/boats/2001/beneteau-oceanis-411-3487392/"
"39 ft 2006 Beneteau CYCLADES 39.3","39","2006","103102","https://au.yachtworld.com/boats/2006/beneteau-cyclades-39-3515441/"
