"model","length","year","price","url"
"40 ft 1996 Catalina 400 MkII","40","1996","90010","https://au.yachtworld.com/boats/1996/catalina-400-mkii-3605763/"
"42 ft 1990 Catalina 420","42","1990","90525","https://au.yachtworld.com/boats/1990/catalina-420-3517030/"
"38 ft 1998 Catalina 380","38","1998","98069","https://au.yachtworld.com/boats/1998/catalina-380-3498899/"
"38 ft 1995 Catalina Morgan 38 CC","38","1995","103349","https://au.yachtworld.com/boats/1995/catalina-morgan-38-cc-3612426/"
"38 ft 1993 Catalina 38","38","1993","104858","https://au.yachtworld.com/boats/1993/catalina-38-3547315/"
"42 ft 1990 Catalina 42","42","1990","105462","https://au.yachtworld.com/boats/1990/catalina-42-3615024/"
"38 ft 1996 Catalina 380","38","1996","112402","https://au.yachtworld.com/boats/1996/catalina-380-3520529/"
"38 ft 2000 Catalina 380","38","2000","112936","https://au.yachtworld.com/boats/2000/catalina-380-3151205/"
"38 ft 1993 Catalina 381 Center Cockpit Sloop","38","1993","113005","https://au.yachtworld.com/boats/1993/catalina-381-center-cockpit-sloop-3621427/"
"38 ft 1997 Catalina 380","38","1997","116928","https://au.yachtworld.com/boats/1997/catalina-380-3605165/"
"38 ft 2000 Catalina 380","38","2000","119191","https://au.yachtworld.com/boats/2000/catalina-380-3491961/"
"42 ft 1997 Catalina 42 MkII","42","1997","120549","https://au.yachtworld.com/boats/1997/catalina-42-mkii-3542086/"
"42 ft 1993 Catalina Sloop","42","1993","119414","https://au.yachtworld.com/boats/1993/catalina-sloop-3533415/"
"38 ft 2000 Catalina 380","38","2000","120549","https://au.yachtworld.com/boats/2000/catalina-380-3622018/"
"38 ft 1998 Catalina 380","38","1998","121104","https://au.yachtworld.com/boats/1998/catalina-380-3120962/"
"38 ft 1998 Catalina 380","38","1998","128093","https://au.yachtworld.com/boats/1998/catalina-380-3607830/"
"38 ft 2002 Catalina 390","38","2002","123026","https://au.yachtworld.com/boats/2002/catalina-390-3539025/"
"38 ft 1998 Catalina Catalina 380","38","1998","128093","https://au.yachtworld.com/boats/1998/catalina-380-3604189/"
"42 ft 1992 Catalina 42","42","1992","133524","https://au.yachtworld.com/boats/1992/catalina-42-3573192/"
"39 ft 2001 Catalina 390","39","2001","134279","https://au.yachtworld.com/boats/2001/catalina-390-3546629/"
"42 ft 1990 Catalina 42","42","1990","135033","https://au.yachtworld.com/boats/1990/catalina-42-3591673/"
"42 ft 1998 Catalina 42 Two Cabin Model","42","1998","135637","https://au.yachtworld.com/boats/1998/catalina-42-two-cabin-model-3471287/"
"40 ft 2000 Catalina 400 MkII","40","2000","135637","https://au.yachtworld.com/boats/2000/catalina-400-mkii-3501017/"
"40 ft 1998 Catalina 400","40","1998","135786","https://au.yachtworld.com/boats/1998/catalina-400-3608985/"
"40 ft 1996 Catalina 40","40","1996","135788","https://au.yachtworld.com/boats/1996/catalina-40-3534454/"
"38 ft 1998 Catalina 380","38","1998","138805","https://au.yachtworld.com/boats/1998/catalina-380-3605752/"
"39 ft 2001 Catalina 390","39","2001","139559","https://au.yachtworld.com/boats/2001/catalina-390-3652676/"
"38 ft 1998 Catalina 380","38","1998","140314","https://au.yachtworld.com/boats/1998/catalina-380-3587864/"
"38 ft 2001 Catalina 380","38","2001","142577","https://au.yachtworld.com/boats/2001/catalina-380-3561800/"
"38 ft 1999 Catalina 380","38","1999","142577","https://au.yachtworld.com/boats/1999/catalina-380-3614153/"
"42 ft 1997 Catalina 42 MkII","42","1997","143331","https://au.yachtworld.com/boats/1997/catalina-42-mkii-3567303/"
"38 ft 2000 Catalina 380","38","2000","143331","https://au.yachtworld.com/boats/2000/catalina-380-2859113/"
"42 ft 1996 Catalina 42 MkII","42","1996","144840","https://au.yachtworld.com/boats/1996/catalina-42-mkii-3647345/"
"41 ft 1997 Catalina Yachts 42 MKII","41","1997","147289","https://au.yachtworld.com/boats/1997/catalina-42-mkii-2611369/"
"40 ft 2001 Catalina 400 MkII","40","2001","149215","https://au.yachtworld.com/boats/2001/catalina-400-mkii-3528927/"
"42 ft 2000 Catalina 42 MkII","42","2000","149366","https://au.yachtworld.com/boats/2000/catalina-42-mkii-3594424/"
"39 ft 2007 Catalina 387","39","2007","149366","https://au.yachtworld.com/boats/2007/catalina-387-3542002/"
"42 ft 1997 Catalina 42 MkII","42","1997","150121","https://au.yachtworld.com/boats/1997/catalina-42-mkii-3645719/"
"40 ft 1995 Catalina 400","40","1995","147802","https://au.yachtworld.com/boats/1995/catalina-400-3544222/"
"42 ft 1992 Catalina 42 Mark 1","42","1992","150422","https://au.yachtworld.com/boats/1992/catalina-42-mark-1-3577769/"
"42 ft 1996 Catalina 42 MkII","42","1996","148816","https://au.yachtworld.com/boats/1996/catalina-42-mkii-3621706/"
"38 ft 2002 Catalina 380","38","2002","150868","https://au.yachtworld.com/boats/2002/catalina-380-3620648/"
"42 ft 1995 Catalina MkII","42","1995","153893","https://au.yachtworld.com/boats/1995/catalina-mkii-3561373/"
"41 ft 2000 Catalina 400 MkII","41","2000","157108","https://au.yachtworld.com/boats/2000/catalina-400-mkii-3582753/"
"44 ft 1991 Catalina Morgan 44 Center Cockpit","44","1991","158268","https://au.yachtworld.com/boats/1991/catalina-morgan-44-center-cockpit-3646609/"
"38 ft 2000 Catalina 380","38","2000","158411","https://au.yachtworld.com/boats/2000/catalina-380-3591652/"
"40 ft 2001 Catalina 400 MkII","40","2001","158419","https://au.yachtworld.com/boats/2001/catalina-400-mkii-3506254/"
"40 ft 2001 Catalina 400 MkII","40","2001","164454","https://au.yachtworld.com/boats/2001/catalina-400-mkii-3619754/"
"42 ft 2001 Catalina 2 Stateroom","42","2001","165812","https://au.yachtworld.com/boats/2001/catalina-2-stateroom-3107486/"
"42 ft 1997 Catalina 42 MkII","42","1997","173355","https://au.yachtworld.com/boats/1997/catalina-42-mkii-3599983/"
"40 ft 1998 Catalina 400","40","1998","173355","https://au.yachtworld.com/boats/1998/catalina-400-3242285/"
"42 ft 2001 Catalina 42 MK II","42","2001","173506","https://au.yachtworld.com/boats/2001/catalina-42-mkii-3648140/"
"42 ft 1993 Catalina 42 MKi","42","1993","173506","https://au.yachtworld.com/boats/1993/catalina-42-mki-3654452/"
"42 ft 1999 Catalina MK II","42","1999","173506","https://au.yachtworld.com/boats/1999/catalina-mk-ii-3180953/"
"40 ft 1996 Catalina 400","40","1996","173506","https://au.yachtworld.com/boats/1996/catalina-400-3517977/"
"42 ft 1997 Catalina 42","42","1997","174261","https://au.yachtworld.com/boats/1997/catalina-42-3639756/"
"50 ft 1994 Catalina 50","50","1994","179541","https://au.yachtworld.com/boats/1994/catalina-50-3164232/"
"39 ft 2001 Catalina 390","39","2001","179541","https://au.yachtworld.com/boats/2001/catalina-390-3643975/"
"41 ft 2002 Catalina 42 MkII","41","2002","180296","https://au.yachtworld.com/boats/2002/catalina-42-mkii-3519692/"
"42 ft 2000 Catalina 42 MkII","42","2000","180899","https://au.yachtworld.com/boats/2000/catalina-42-mkii-3545873/"
"39 ft 2007 Catalina 387","39","2007","180975","https://au.yachtworld.com/boats/2007/catalina-387-3197432/"
"38 ft 2004 Catalina 387","38","2004","182409","https://au.yachtworld.com/boats/2004/catalina-387-3527746/"
"39 ft 2002 Catalina 390","39","2002","183992","https://au.yachtworld.com/boats/2002/catalina-390-3592961/"
"40 ft 2001 Catalina 400","40","2001","184068","https://au.yachtworld.com/boats/2001/catalina-400-3518455/"
"42 ft 2001 Catalina 42 MkII","42","2001","188443","https://au.yachtworld.com/boats/2001/catalina-42-mkii-3543093/"
"44 ft 1990 Morgan Catalina Morgan 44","44","1990","188594","https://au.yachtworld.com/boats/1990/morgan-catalina-morgan-44-3616943/"
"40 ft 1999 Catalina 400","40","1999","188594","https://au.yachtworld.com/boats/1999/catalina-400-3554077/"
"42 ft 2002 Catalina Mk II","42","2002","190857","https://au.yachtworld.com/boats/2002/catalina-mk-ii-3617671/"
"42 ft 1997 Catalina 42 MkII","42","1997","192790","https://au.yachtworld.com/boats/1997/catalina-42-mkii-3536209/"
"42 ft 2001 Catalina 42 MkII","42","2001","195987","https://au.yachtworld.com/boats/2001/catalina-42-mkii-3564313/"
"38 ft 2004 Catalina 387","38","2004","200744","https://au.yachtworld.com/boats/2004/catalina-387-3538934/"
"38 ft 2004 Catalina 387 Sloop","38","2004","203530","https://au.yachtworld.com/boats/2004/catalina-387-sloop-3641794/"
"47 ft 1999 Catalina 470","47","1999","209716","https://au.yachtworld.com/boats/1999/catalina-470-3587771/"
"38 ft 2007 Catalina 387","38","2007","209716","https://au.yachtworld.com/boats/2007/catalina-387-3606548/"
"40 ft 2005 Catalina 400 MkII","40","2005","211074","https://au.yachtworld.com/boats/2005/catalina-400-mkii-3186584/"
"38 ft 2004 Catalina 387","38","2004","211074","https://au.yachtworld.com/boats/2004/catalina-387-3641047/"
"38 ft 2006 Catalina 387","38","2006","211218","https://au.yachtworld.com/boats/2006/catalina-387-3581417/"
"40 ft 2004 Catalina 400 MkII","40","2004","211225","https://au.yachtworld.com/boats/2004/catalina-400-mkii-3583590/"
"42 ft 2002 Catalina 42 MkII","42","2002","214243","https://au.yachtworld.com/boats/2002/catalina-42-mkii-3498470/"
"42 ft 2004 Catalina 42 MkII","42","2004","216632","https://au.yachtworld.com/boats/2004/catalina-42-mkii-3255413/"
"42 ft 1995 Catalina 42 MkII","42","1995","218769","https://au.yachtworld.com/boats/1995/catalina-42-mkii-3617455/"
"38 ft 2009 Catalina 387","38","2009","218769","https://au.yachtworld.com/boats/2009/catalina-387-3488769/"
"38 ft 2006 Catalina 387","38","2006","218769","https://au.yachtworld.com/boats/2006/catalina-387-3581552/"
"40 ft 2006 Catalina 400 MkII","40","2006","222541","https://au.yachtworld.com/boats/2006/catalina-400-mkii-3226239/"
"42 ft 2001 Catalina 42 MkII","42","2001","223295","https://au.yachtworld.com/boats/2001/catalina-42-mkii-3648540/"
"40 ft 2005 Catalina 400 MkII Twin Helm","40","2005","224804","https://au.yachtworld.com/boats/2005/catalina-400-mkii-twin-helm-3155170/"
"40 ft 2005 Catalina MK II","40","2005","224804","https://au.yachtworld.com/boats/2005/catalina-mk-ii-3248166/"
"42 ft 2003 Catalina 42 MkII","42","2003","226162","https://au.yachtworld.com/boats/2003/catalina-42-mkii-2883196/"
