"model","length","year","price","url"
"38 ft 1990 Dehler 39 CWS","38","1990","64643","https://au.yachtworld.com/boats/1990/dehler-39-cws-3115534/"
"38 ft 1991 Dehler 39 CWS","38","1991","78122","https://au.yachtworld.com/boats/1991/dehler-39-cws-3567184/"
"38 ft 1992 Dehler 39 CWS","38","1992","96556","https://au.yachtworld.com/boats/1992/dehler-39-cws-3577891/"
"43 ft 1993 Dehler 43 CWS","43","1993","114394","https://au.yachtworld.com/boats/1993/dehler-43-cws-3597499/"
"43 ft 1993 Dehler 43 CWS","43","1993","123723","https://au.yachtworld.com/boats/1993/dehler-43-cws-3514522/"
"43 ft 1992 Dehler 43 CWS","43","1992","137470","https://au.yachtworld.com/boats/1992/dehler-43-cws-3488419/"
"43 ft 1992 Dehler 43 CWS","43","1992","146471","https://au.yachtworld.com/boats/1992/dehler-43-cws-2992910/"
"40 ft 1995 Dehler 41 DS","40","1995","147873","https://au.yachtworld.com/boats/1995/dehler-41-ds-3608550/"
"43 ft 1992 Dehler 43 CWS","43","1992","155471","https://au.yachtworld.com/boats/1992/dehler-43-cws-3522808/"
"43 ft 1992 Dehler 43 CWS","43","1992","160381","https://au.yachtworld.com/boats/1992/dehler-43-cws-3560215/"
"39 ft 2004 Dehler 39","39","2004","162018","https://au.yachtworld.com/boats/2004/dehler-39-3094644/"
"43 ft 1993 Dehler 43 CWS","43","1993","162836","https://au.yachtworld.com/boats/1993/dehler-43-cws-3592280/"
"39 ft 2002 Dehler 39","39","2002","163491","https://au.yachtworld.com/boats/2002/dehler-39-3217127/"
"39 ft 2001 Dehler 39","39","2001","175110","https://au.yachtworld.com/boats/2001/dehler-39-2398712/"
"38 ft 1999 Dehler 39","38","1999","179201","https://au.yachtworld.com/boats/1999/dehler-39-3085093/"
"39 ft 2004 Dehler 39.2SQ","39","2004","184111","https://au.yachtworld.com/boats/2004/dehler-39-2sq-3477733/"
"39 ft 2000 Dehler 39 JV","39","2000","185524","https://au.yachtworld.com/boats/2000/dehler-39-jv-3652363/"
"41 ft 2000 Dehler 41 CR","41","2000","194748","https://au.yachtworld.com/boats/2000/dehler-41-cr-2859350/"
"38 ft 2002 Dehler 39","38","2002","196385","https://au.yachtworld.com/boats/2002/dehler-39-3214311/"
"38 ft 2001 Dehler 39","38","2001","212750","https://au.yachtworld.com/boats/2001/dehler-39-2854137/"
"39 ft 2007 Dehler 39 SQ","39","2007","216842","https://au.yachtworld.com/boats/2007/dehler-39-sq-3652454/"
"41 ft 2000 Dehler 41 DS","41","2000","218769","https://au.yachtworld.com/boats/2000/dehler-41-ds-3607602/"
"39 ft 2001 Custom Dehler Yachtbau Dehler 39","39","2001","220933","https://au.yachtworld.com/boats/2001/custom-dehler-yachtbau-dehler-39-2893249/"
"41 ft 2008 Dehler 41 CR","41","2008","237217","https://au.yachtworld.com/boats/2008/dehler-41-cr-3231206/"
"44 ft 2007 Dehler 44 SQ","44","2007","237299","https://au.yachtworld.com/boats/2007/dehler-44-sq-3147452/"
"46 ft 2004 Dehler 47","46","2004","243845","https://au.yachtworld.com/boats/2004/dehler-47-3646064/"
"39 ft 2007 Algro judel vrolijk 39 as Dehler","39","2007","274939","https://au.yachtworld.com/boats/2007/algro-judel-vrolijk-39-as-dehler-3517075/"
"44 ft 2007 Dehler 44 SQ","44","2007","276576","https://au.yachtworld.com/boats/2007/dehler-44-sq-3197326/"
"46 ft 2008 Dehler 47","46","2008","302760","https://au.yachtworld.com/boats/2008/dehler-47-3248104/"
"46 ft 2007 Dehler 47 SQ","46","2007","351857","https://au.yachtworld.com/boats/2007/dehler-47-sq-3645121/"
"46 ft 2008 Dehler 47 SQ","46","2008","360039","https://au.yachtworld.com/boats/2008/dehler-47-sq-3556732/"
"44 ft 2010 Dehler 45","44","2010","372420","https://au.yachtworld.com/boats/2010/dehler-45-3648008/"
