"model","length","year","price","url"
"39 ft 2000 Dufour 38 Classic","39","2000","63825","https://au.yachtworld.com/boats/2000/dufour-38-classic-3151193/"
"38 ft 2001 Dufour 38 Classic","38","2001","64122","https://au.yachtworld.com/boats/2001/dufour-38-classic-3207730/"
"38 ft 2000 Dufour 38 Classic","38","2000","80191","https://au.yachtworld.com/boats/2000/dufour-38-classic-3178942/"
"40 ft 2003 Dufour Gib'Sea 41","40","2003","90010","https://au.yachtworld.com/boats/2003/dufour-gib-sea-41-3547065/"
"40 ft 2003 Dufour Gib'Sea 41","40","2003","91646","https://au.yachtworld.com/boats/2003/dufour-gib-sea-41-3610809/"
"39 ft 1998 Dufour 41 Classic","39","1998","96556","https://au.yachtworld.com/boats/1998/dufour-41-classic-3564305/"
"38 ft 2000 Dufour 38 Classic","38","2000","97374","https://au.yachtworld.com/boats/2000/dufour-38-classic-3520839/"
"38 ft 1998 Dufour 38 Classic","38","1998","97765","https://au.yachtworld.com/boats/1998/dufour-38-classic-3577135/"
"38 ft 2006 Dufour 385 Grand Large","38","2006","101466","https://au.yachtworld.com/boats/2006/dufour-385-grand-large-2702945/"
"38 ft 2000 Dufour 38 Classic","38","2000","103102","https://au.yachtworld.com/boats/2000/dufour-38-classic-3611763/"
"44 ft 2007 Dufour 44 Performance","44","2007","103920","https://au.yachtworld.com/boats/2007/dufour-44-performance-3129948/"
"44 ft 2007 Dufour 44 Performance","44","2007","103920","https://au.yachtworld.com/boats/2007/dufour-44-performance-3129938/"
"42 ft 2001 Dufour Gib'Sea 43","42","2001","103920","https://au.yachtworld.com/boats/2001/dufour-gib-sea-43-3646674/"
"42 ft 1999 Dufour 43 Classic","42","1999","104104","https://au.yachtworld.com/boats/1999/dufour-43-classic-3566514/"
"39 ft 2004 Dufour 40","39","2004","106375","https://au.yachtworld.com/boats/2004/dufour-40-3015948/"
"38 ft 2007 Dufour 385","38","2007","106375","https://au.yachtworld.com/boats/2007/dufour-385-3100397/"
"38 ft 2001 Dufour 38 Classic","38","2001","106375","https://au.yachtworld.com/boats/2001/dufour-38-classic-3484350/"
"44 ft 2007 Dufour 44 Performance","44","2007","103285","https://au.yachtworld.com/boats/2007/dufour-44-performance-3115736/"
"43 ft 2000 Dufour Gib Sea 43","43","2000","108373","https://au.yachtworld.com/boats/2000/dufour-gib-sea-43-3192195/"
"44 ft 1993 Dufour Gib'Sea 442 Master","44","1993","109648","https://au.yachtworld.com/boats/1993/dufour-gib-sea-442-master-3620364/"
"43 ft 2007 Dufour 44","43","2007","109648","https://au.yachtworld.com/boats/2007/dufour-44-3584731/"
"42 ft 1999 Dufour 43 Classic","42","1999","109648","https://au.yachtworld.com/boats/1999/dufour-43-classic-3580967/"
"38 ft 2008 Dufour 385 Grand Large (Engine 2018)","38","2008","112921","https://au.yachtworld.com/boats/2008/dufour-385-grand-large-engine-2018--2654431/"
"44 ft 2003 Dufour 44 Performance / VAT paid","44","2003","114394","https://au.yachtworld.com/boats/2003/dufour-44-performance-vat-paid-3618927/"
"38 ft 2009 Dufour 385 Grand Large","38","2009","114558","https://au.yachtworld.com/boats/2009/dufour-385-grand-large-3247746/"
"42 ft 2000 Dufour 43 Classic","42","2000","117831","https://au.yachtworld.com/boats/2000/dufour-43-classic-3640428/"
"39 ft 2003 Dufour 40 Performance","39","2003","119468","https://au.yachtworld.com/boats/2003/dufour-40-performance-3616876/"
"39 ft 2003 Dufour 40","39","2003","121104","https://au.yachtworld.com/boats/2003/dufour-40-3496065/"
"46 ft 1999 Dufour 45 Classic","46","1999","122741","https://au.yachtworld.com/boats/1999/dufour-45-classic-3172567/"
"38 ft 2005 Dufour 385","38","2005","122741","https://au.yachtworld.com/boats/2005/dufour-385-3640174/"
"38 ft 2007 Dufour 385 Grand Large","38","2007","122741","https://au.yachtworld.com/boats/2007/dufour-385-grand-large-2915685/"
"39 ft 2004 Dufour Dufour 40","39","2004","123559","https://au.yachtworld.com/boats/2004/dufour-dufour-40-2991754/"
"44 ft 2000 Dufour 454","44","2000","128469","https://au.yachtworld.com/boats/2000/dufour-454-3524080/"
"49 ft 1997 Dufour 50 Classic","49","1997","129287","https://au.yachtworld.com/boats/1997/dufour-50-classic-3560900/"
"44 ft 1997 Dufour 45 Classic","44","1997","129287","https://au.yachtworld.com/boats/1997/dufour-45-classic-3654716/"
"40 ft 2003 Dufour Gib Sea 41","40","2003","129287","https://au.yachtworld.com/boats/2003/dufour-gib-sea-41-3472347/"
"40 ft 2004 Dufour 40 Performance","40","2004","129287","https://au.yachtworld.com/boats/2004/dufour-40-performance-3547992/"
"40 ft 2007 Dufour 40 Performance","40","2007","129287","https://au.yachtworld.com/boats/2007/dufour-40-performance-2681616/"
"44 ft 2004 Dufour 44","44","2004","130923","https://au.yachtworld.com/boats/2004/dufour-44-2543126/"
"43 ft 2000 Dufour 43 Classic","43","2000","130923","https://au.yachtworld.com/boats/2000/dufour-43-classic-3612549/"
"38 ft 2005 Dufour 385","38","2005","130923","https://au.yachtworld.com/boats/2005/dufour-385-3537479/"
"40 ft 2004 Dufour 40 Performance","40","2004","135833","https://au.yachtworld.com/boats/2004/dufour-40-performance-3536367/"
"40 ft 2003 Dufour 40 Performance","40","2003","135833","https://au.yachtworld.com/boats/2003/dufour-40-performance-2563040/"
"38 ft 2005 Dufour 385","38","2005","136875","https://au.yachtworld.com/boats/2005/dufour-385-3521606/"
"38 ft 2005 Dufour 385 Grand Large","38","2005","136875","https://au.yachtworld.com/boats/2005/dufour-385-grand-large-3231263/"
"38 ft 2006 Dufour 385 Grand Large","38","2006","138288","https://au.yachtworld.com/boats/2006/dufour-385-grand-large-3577321/"
"39 ft 2005 Dufour 40","39","2005","138942","https://au.yachtworld.com/boats/2005/dufour-40-3560207/"
"45 ft 2005 Dufour 455 Grand Large","45","2005","139106","https://au.yachtworld.com/boats/2005/dufour-455-grand-large-3587800/"
"45 ft 1999 Dufour 45","45","1999","139106","https://au.yachtworld.com/boats/1999/dufour-45-1144878/"
"40 ft 2003 Dufour 40 Performance","40","2003","139106","https://au.yachtworld.com/boats/2003/dufour-40-performance-3565454/"
"40 ft 2008 Dufour 40 Performance","40","2008","139106","https://au.yachtworld.com/boats/2008/dufour-40-performance-3467085/"
"39 ft 2005 Dufour 40","39","2005","139106","https://au.yachtworld.com/boats/2005/dufour-40-3250580/"
"38 ft 2006 Dufour 385 Grand Large","38","2006","139106","https://au.yachtworld.com/boats/2006/dufour-385-grand-large-2705690/"
"38 ft 2008 Dufour 385 Grand Large","38","2008","139106","https://au.yachtworld.com/boats/2008/dufour-385-grand-large-3606409/"
"40 ft 2004 Dufour 40 Performance","40","2004","140743","https://au.yachtworld.com/boats/2004/dufour-40-performance-3063761/"
"45 ft 1998 Dufour DUFOUR 45 CLASSIC","45","1998","142379","https://au.yachtworld.com/boats/1998/dufour-dufour-45-classic-3645855/"
"44 ft 1998 Dufour DUFOUR 45 CLASSIC","44","1998","142379","https://au.yachtworld.com/boats/1998/dufour-dufour-45-classic-3646454/"
"42 ft 2000 Dufour 43 Classic","42","2000","143331","https://au.yachtworld.com/boats/2000/dufour-43-classic-3210640/"
"39 ft 1999 Dufour 39 CC","39","1999","143331","https://au.yachtworld.com/boats/1999/dufour-39-cc-3561218/"
"39 ft 2003 Dufour 40 Performance","39","2003","144016","https://au.yachtworld.com/boats/2003/dufour-40-performance-3561562/"
"38 ft 2005 Dufour DUFOUR 385 Grand Large","38","2005","144016","https://au.yachtworld.com/boats/2005/dufour-dufour-385-grand-large-3591454/"
"38 ft 2005 Dufour 385","38","2005","144706","https://au.yachtworld.com/boats/2005/dufour-385-2731381/"
"42 ft 2006 Dufour 40 Performance","42","2006","145652","https://au.yachtworld.com/boats/2006/dufour-40-performance-3074378/"
"40 ft 2004 Dufour 40 Performance","40","2004","145652","https://au.yachtworld.com/boats/2004/dufour-40-performance-2824674/"
"39 ft 2006 Dufour 40 Performance","39","2006","145652","https://au.yachtworld.com/boats/2006/dufour-40-performance-3180426/"
"39 ft 2003 Dufour 40","39","2003","145652","https://au.yachtworld.com/boats/2003/dufour-40-3248724/"
"39 ft 2003 Dufour Dufour 40 Pack Performance","39","2003","145652","https://au.yachtworld.com/boats/2003/dufour-dufour-40-pack-performance-3138791/"
"40 ft 2004 Dufour 40 Performance","40","2004","147125","https://au.yachtworld.com/boats/2004/dufour-40-performance-3542618/"
"45 ft 2010 Dufour 455 Grand Large","45","2010","147289","https://au.yachtworld.com/boats/2010/dufour-455-grand-large-3052315/"
"45 ft 2008 Dufour 455 Grand Large","45","2008","147289","https://au.yachtworld.com/boats/2008/dufour-455-grand-large-2928252/"
