"model","length","year","price","url"
"40 ft 2003 Elan 40","40","2003","70371","https://au.yachtworld.com/boats/2003/elan-40-3559888/"
"38 ft 1997 Elan 38","38","1997","77245","https://au.yachtworld.com/boats/1997/elan-38-3569690/"
"43 ft 1990 Elan 43/ 3 cabins","43","1990","81500","https://au.yachtworld.com/boats/1990/elan-43-3-cabins-2978224/"
"42 ft 1994 Elan 431","42","1994","85100","https://au.yachtworld.com/boats/1994/elan-431-3480211/"
"39 ft 2002 Elan 40","39","2002","88373","https://au.yachtworld.com/boats/2002/elan-40-3206555/"
"45 ft 2001 Elan 45 / Private/ Owners version","45","2001","89846","https://au.yachtworld.com/boats/2001/elan-45-private-owners-version--2962905/"
"40 ft 2002 Elan 40 / VAT PAID","40","2002","90010","https://au.yachtworld.com/boats/2002/elan-40-vat-paid-2799339/"
"38 ft 1996 Elan 38 / VAT paid","38","1996","94101","https://au.yachtworld.com/boats/1996/elan-38-vat-paid-3537513/"
"38 ft 2006 Elan Impression 384","38","2006","96229","https://au.yachtworld.com/boats/2006/elan-impression-384-3072610/"
"40 ft 2003 Elan 40","40","2003","96556","https://au.yachtworld.com/boats/2003/elan-40-3116513/"
"38 ft 2006 Elan Impression 384 / New engine","38","2006","97865","https://au.yachtworld.com/boats/2006/elan-impression-384-new-engine-3045343/"
"44 ft 2001 Elan 45","44","2001","98029","https://au.yachtworld.com/boats/2001/elan-45-3496777/"
"43 ft 1995 Elan 431 / Owners","43","1995","98193","https://au.yachtworld.com/boats/1995/elan-431-owners-3513266/"
"39 ft 2002 Elan 40","39","2002","98193","https://au.yachtworld.com/boats/2002/elan-40-2739422/"
"40 ft 2003 Elan Marine 40","40","2003","106375","https://au.yachtworld.com/boats/2003/elan-marine-40-3619911/"
"39 ft 2006 Elan 40","39","2006","109648","https://au.yachtworld.com/boats/2006/elan-40-3207751/"
"42 ft 2007 Elan Impression 434","42","2007","112921","https://au.yachtworld.com/boats/2007/elan-impression-434-3591823/"
"40 ft 2002 Elan 40","40","2002","117232","https://au.yachtworld.com/boats/2002/elan-40-3584667/"
"45 ft 2006 Elan 434 Impression","45","2006","117831","https://au.yachtworld.com/boats/2006/elan-434-impression-3601218/"
"40 ft 2006 Elan Yachts Elan Yachts Elan 40","40","2006","119468","https://au.yachtworld.com/boats/2006/elan-yachts-elan-yachts-elan-40-3644971/"
"44 ft 2002 Elan 45","44","2002","121104","https://au.yachtworld.com/boats/2002/elan-45-2500575/"
