"model","length","year","price","url"
"47 ft 2004 Grand Soleil 46.3","47","2004","139","https://au.yachtworld.com/boats/2004/grand-soleil-46-3-2703207/"
"41 ft 1991 Grand Soleil Grand Soleil 42","41","1991","63825","https://au.yachtworld.com/boats/1991/grand-soleil-grand-soleil-42-3611253/"
"40 ft 1990 Grand Soleil 42","40","1990","88373","https://au.yachtworld.com/boats/1990/grand-soleil-42-3652614/"
"41 ft 1992 Grand Soleil 42 FRERS","41","1992","90010","https://au.yachtworld.com/boats/1992/grand-soleil-42-frers-2786762/"
"41 ft 1992 Grand Soleil Grand Soleil 42","41","1992","98193","https://au.yachtworld.com/boats/1992/grand-soleil-grand-soleil-42-3004774/"
"42 ft 1999 Comar Grand Soleil Genesi 43","42","1999","106375","https://au.yachtworld.com/boats/1999/comar-grand-soleil-genesi-43-3250976/"
"39 ft 1992 Grand Soleil 42","39","1992","106375","https://au.yachtworld.com/boats/1992/grand-soleil-42-3653326/"
"38 ft 2004 Grand Soleil 37","38","2004","107848","https://au.yachtworld.com/boats/2004/grand-soleil-37-3612705/"
"41 ft 2003 Grand Soleil 42 RACE","41","2003","109648","https://au.yachtworld.com/boats/2003/grand-soleil-42-race-3609459/"
"39 ft 2002 Grand Soleil GRAND SOLEIL 40","39","2002","111285","https://au.yachtworld.com/boats/2002/grand-soleil-grand-soleil-40-3595927/"
"39 ft 2003 Grand Soleil 40","39","2003","112921","https://au.yachtworld.com/boats/2003/grand-soleil-40-3073979/"
"40 ft 2003 Grand Soleil 40","40","2003","114558","https://au.yachtworld.com/boats/2003/grand-soleil-40-2366314/"
"41 ft 2004 Grand Soleil 42 RACE","41","2004","117831","https://au.yachtworld.com/boats/2004/grand-soleil-42-race-2960975/"
"45 ft 1993 Grand Soleil 45","45","1993","119468","https://au.yachtworld.com/boats/1993/grand-soleil-45-3563371/"
"39 ft 2003 Grand Soleil 40","39","2003","122741","https://au.yachtworld.com/boats/2003/grand-soleil-40-3597437/"
"38 ft 2004 Grand Soleil 37","38","2004","122741","https://au.yachtworld.com/boats/2004/grand-soleil-37-2961694/"
"38 ft 2005 Pardo Grand Soleil 37","38","2005","122741","https://au.yachtworld.com/boats/2005/pardo-grand-soleil-37-3610589/"
"38 ft 2006 Grand Soleil Grand Soleil 37","38","2006","122741","https://au.yachtworld.com/boats/2006/grand-soleil-grand-soleil-37-3597008/"
"46 ft 2003 Grand Soleil Grand soleil 46.3","46","2003","127650","https://au.yachtworld.com/boats/2003/grand-soleil-grand-soleil-46-3-3604277/"
"47 ft 2002 Grand Soleil 46.3","47","2002","129287","https://au.yachtworld.com/boats/2002/grand-soleil-46-3-3104095/"
"41 ft 1990 Pardo Grand Soleil 42","41","1990","129287","https://au.yachtworld.com/boats/1990/pardo-grand-soleil-42-3643849/"
"41 ft 1991 Grand Soleil 42","41","1991","130923","https://au.yachtworld.com/boats/1991/grand-soleil-42-3208402/"
"38 ft 2006 Grand Soleil Grand Soleil 37","38","2006","134196","https://au.yachtworld.com/boats/2006/grand-soleil-grand-soleil-37-3529409/"
"41 ft 2007 Grand Soleil 40","41","2007","133929","https://au.yachtworld.com/boats/2007/grand-soleil-40-3203521/"
"40 ft 2007 Grand Soleil 40","40","2007","137470","https://au.yachtworld.com/boats/2007/grand-soleil-40-3603031/"
"39 ft 2004 Pardo Grand Soleil 40","39","2004","139024","https://au.yachtworld.com/boats/2004/pardo-grand-soleil-40-2890012/"
"47 ft 2004 Grand Soleil 46.3","47","2004","139106","https://au.yachtworld.com/boats/2004/grand-soleil-46-3-2780539/"
"44 ft 1991 Grand Soleil Grand Soleil 45","44","1991","139106","https://au.yachtworld.com/boats/1991/grand-soleil-grand-soleil-45-3644170/"
"39 ft 2003 Del Pardo Grand Soleil 40","39","2003","139106","https://au.yachtworld.com/boats/2003/del-pardo-grand-soleil-40-3034584/"
"39 ft 2003 Grand Soleil 40","39","2003","139106","https://au.yachtworld.com/boats/2003/grand-soleil-40-3617487/"
"50 ft 1998 Grand Soleil 50","50","1998","141561","https://au.yachtworld.com/boats/1998/grand-soleil-50-3650611/"
"39 ft 2001 Grand Soleil 40 Race","39","2001","142379","https://au.yachtworld.com/boats/2001/grand-soleil-40-race-3176509/"
"45 ft 1992 Grand Soleil 45","45","1992","145652","https://au.yachtworld.com/boats/1992/grand-soleil-45-2945593/"
"44 ft 1995 Grand Soleil 45","44","1995","145652","https://au.yachtworld.com/boats/1995/grand-soleil-45-3597353/"
"42 ft 1994 Grand Soleil 42","42","1994","145652","https://au.yachtworld.com/boats/1994/grand-soleil-42-3513721/"
"39 ft 2005 Grand Soleil 40","39","2005","145652","https://au.yachtworld.com/boats/2005/grand-soleil-40-3640179/"
"39 ft 2001 Grand Soleil 40R","39","2001","146471","https://au.yachtworld.com/boats/2001/grand-soleil-40r-3609024/"
"47 ft 2001 Grand Soleil 46.3","47","2001","147289","https://au.yachtworld.com/boats/2001/grand-soleil-46-3-3518574/"
"44 ft 1995 Grand Soleil Grand Soleil 45","44","1995","147289","https://au.yachtworld.com/boats/1995/grand-soleil-grand-soleil-45-3592927/"
"39 ft 2007 Grand Soleil 40","39","2007","147289","https://au.yachtworld.com/boats/2007/grand-soleil-40-3615774/"
"39 ft 2000 Grand Soleil GRAND SOLEIL 40","39","2000","147289","https://au.yachtworld.com/boats/2000/grand-soleil-grand-soleil-40-3643695/"
"39 ft 2005 Grand Soleil 40","39","2005","151380","https://au.yachtworld.com/boats/2005/grand-soleil-40-3191660/"
"42 ft 2001 Grand Soleil 43","42","2001","153276","https://au.yachtworld.com/boats/2001/grand-soleil-43-3198349/"
"43 ft 2001 Grand Soleil 43","43","2001","155471","https://au.yachtworld.com/boats/2001/grand-soleil-43-3598065/"
"38 ft 2006 Grand Soleil Grand Soleil 37","38","2006","155471","https://au.yachtworld.com/boats/2006/grand-soleil-grand-soleil-37-3611436/"
"40 ft 2005 Grand Soleil 40R","40","2005","158417","https://au.yachtworld.com/boats/2005/grand-soleil-40r-3000588/"
"42 ft 2000 Grand Soleil 43","42","2000","160381","https://au.yachtworld.com/boats/2000/grand-soleil-43-3647048/"
"42 ft 2001 Grand Soleil 43 J&J","42","2001","160381","https://au.yachtworld.com/boats/2001/grand-soleil-43-j-j-3566303/"
"39 ft 2004 Grand Soleil 40","39","2004","162018","https://au.yachtworld.com/boats/2004/grand-soleil-40-3549754/"
"39 ft 2003 Grand Soleil 40","39","2003","162836","https://au.yachtworld.com/boats/2003/grand-soleil-40-3609062/"
"39 ft 2001 Grand Soleil 40","39","2001","163654","https://au.yachtworld.com/boats/2001/grand-soleil-40-3010623/"
"44 ft 1995 Grand Soleil 45","44","1995","166217","https://au.yachtworld.com/boats/1995/grand-soleil-45-3482979/"
