"model","length","year","price","url"
"42 ft 1994 Hallberg-Rassy 42F MK I","42","1994","226298","https://au.yachtworld.com/boats/1994/hallberg-rassy-42f-mk-i-3571210/"
"42 ft 1991 Hallberg-Rassy 42F","42","1991","227479","https://au.yachtworld.com/boats/1991/hallberg-rassy-42f-3526789/"
"42 ft 1991 Hallberg-Rassy 42F","42","1991","227479","https://au.yachtworld.com/boats/1991/hallberg-rassy-42f-3526936/"
"38 ft 1992 Hallberg-Rassy 39 MK1","38","1992","228298","https://au.yachtworld.com/boats/1992/hallberg-rassy-39-mk1-3605773/"
"42 ft 1992 Hallberg-Rassy 42F","42","1992","229116","https://au.yachtworld.com/boats/1992/hallberg-rassy-42f-3231204/"
"40 ft 1994 Hallberg-Rassy 39","40","1994","244436","https://au.yachtworld.com/boats/1994/hallberg-rassy-39-3529944/"
"38 ft 1992 Hallberg Rassy 39","38","1992","244663","https://au.yachtworld.com/boats/1992/hallberg-rassy-39-2853277/"
"40 ft 1996 Hallberg-Rassy H.R. 39 MK II scafo #97","40","1996","261847","https://au.yachtworld.com/boats/1996/hallberg-rassy-h-r-39-mk-ii-scafo-97-3554232/"
"39 ft 1998 Hallberg-Rassy 39","39","1998","270857","https://au.yachtworld.com/boats/1998/hallberg-rassy-39-3524913/"
"42 ft 1996 Hallberg-Rassy 42F","42","1996","285000","https://au.yachtworld.com/boats/1996/hallberg-rassy-42f-3547503/"
"40 ft 2000 Hallberg-Rassy 39","40","2000","291788","https://au.yachtworld.com/boats/2000/hallberg-rassy-39-3598407/"
"42 ft 1997 Hallberg-Rassy 42","42","1997","291368","https://au.yachtworld.com/boats/1997/hallberg-rassy-42-3608301/"
"49 ft 1990 Hallberg-Rassy 49","49","1990","294578","https://au.yachtworld.com/boats/1990/hallberg-rassy-49-3558617/"
"40 ft 1999 Hallberg-Rassy 39","40","1999","302760","https://au.yachtworld.com/boats/1999/hallberg-rassy-39-3643422/"
"43 ft 1998 Hallberg-Rassy 42","43","1998","310943","https://au.yachtworld.com/boats/1998/hallberg-rassy-42-3644449/"
