"model","length","year","price","url"
"41 ft 1999 Hanse 401","41","1999","102595","https://au.yachtworld.com/boats/1999/hanse-401-3533197/"
"40 ft 2002 Hanse 411","40","2002","111463","https://au.yachtworld.com/boats/2002/hanse-411-3241084/"
"40 ft 2002 Hanse 411","40","2002","112441","https://au.yachtworld.com/boats/2002/hanse-411-3554726/"
"39 ft 2008 Hanse 400","39","2008","118649","https://au.yachtworld.com/boats/2008/hanse-400-3618981/"
"39 ft 2006 Hanse 400e","39","2006","121104","https://au.yachtworld.com/boats/2006/hanse-400e-3620707/"
"39 ft 2006 Hanse 400e","39","2006","122741","https://au.yachtworld.com/boats/2006/hanse-400e-3543310/"
"41 ft 2002 Hanse 411 / Owners version","41","2002","123723","https://au.yachtworld.com/boats/2002/hanse-411-owners-version-3171499/"
"40 ft 2002 Hanse 411","40","2002","120404","https://au.yachtworld.com/boats/2002/hanse-411-2647452/"
"39 ft 2005 Hanse Hanse 411","39","2005","126014","https://au.yachtworld.com/boats/2005/hanse-hanse-411-3652736/"
"39 ft 2007 Hanse 400","39","2007","129287","https://au.yachtworld.com/boats/2007/hanse-400-3645053/"
"39 ft 2007 Hanse Hanse 400","39","2007","130514","https://au.yachtworld.com/boats/2007/hanse-hanse-400-3545756/"
"39 ft 2007 Hanse 400E - FIRST OWNER","39","2007","130923","https://au.yachtworld.com/boats/2007/hanse-400e-first-owner-3501128/"
"40 ft 2002 Hanse 411","40","2002","134033","https://au.yachtworld.com/boats/2002/hanse-411-3123335/"
"40 ft 2006 Hanse 411","40","2006","135833","https://au.yachtworld.com/boats/2006/hanse-411-3191288/"
"41 ft 2004 Hanse 411","41","2004","136651","https://au.yachtworld.com/boats/2004/hanse-411-3548865/"
"40 ft 2005 Hanse 411","40","2005","136875","https://au.yachtworld.com/boats/2005/hanse-411-3245955/"
"39 ft 2008 Hanse 400","39","2008","144016","https://au.yachtworld.com/boats/2008/hanse-400-3517233/"
"39 ft 2008 Hanse 400","39","2008","144016","https://au.yachtworld.com/boats/2008/hanse-400-3512158/"
"40 ft 2005 Hanse 411","40","2005","145652","https://au.yachtworld.com/boats/2005/hanse-411-3557155/"
"39 ft 2008 Hanse 400","39","2008","145652","https://au.yachtworld.com/boats/2008/hanse-400-3584811/"
"41 ft 2004 Hanse 411","41","2004","146662","https://au.yachtworld.com/boats/2004/hanse-411-3644421/"
"39 ft 2008 Hanse Hanse 400","39","2008","147289","https://au.yachtworld.com/boats/2008/hanse-hanse-400-3620189/"
"39 ft 2007 Hanse 400","39","2007","155462","https://au.yachtworld.com/boats/2007/hanse-400-3592365/"
"40 ft 2004 Hanse 411","40","2004","155471","https://au.yachtworld.com/boats/2004/hanse-411-2506156/"
"40 ft 2007 Hanse 400","40","2007","155471","https://au.yachtworld.com/boats/2007/hanse-400-3135616/"
"39 ft 2007 Hanse 400","39","2007","156342","https://au.yachtworld.com/boats/2007/hanse-400-3617510/"
"40 ft 2005 Hanse 411","40","2005","162018","https://au.yachtworld.com/boats/2005/hanse-411-3612900/"
"39 ft 2008 Hanse 400 Epoxy","39","2008","162018","https://au.yachtworld.com/boats/2008/hanse-400-epoxy-3612577/"
"39 ft 2007 Hanse 400","39","2007","162018","https://au.yachtworld.com/boats/2007/hanse-400-2618677/"
"39 ft 2007 Hanse 400","39","2007","163654","https://au.yachtworld.com/boats/2007/hanse-400-3252599/"
"40 ft 2008 Hanse 400e","40","2008","164164","https://au.yachtworld.com/boats/2008/hanse-400e-3562332/"
"39 ft 2007 Hanse 400","39","2007","171837","https://au.yachtworld.com/boats/2007/hanse-400-3031046/"
"39 ft 2008 Hanse 400","39","2008","177681","https://au.yachtworld.com/boats/2008/hanse-400-3599222/"
"39 ft 2008 Hanse 400e","39","2008","178383","https://au.yachtworld.com/boats/2008/hanse-400e-3619553/"
"43 ft 2008 Hanse 430e","43","2008","179856","https://au.yachtworld.com/boats/2008/hanse-430e-2178296/"
"43 ft 2007 Hanse 430e","43","2007","184111","https://au.yachtworld.com/boats/2007/hanse-430e-3536420/"
"43 ft 2007 Hanse hanse 430 E","43","2007","184111","https://au.yachtworld.com/boats/2007/hanse-hanse-430-e-3557298/"
"46 ft 2006 Hanse 461","46","2006","188202","https://au.yachtworld.com/boats/2006/hanse-461-3518294/"
"46 ft 2006 Hanse 461","46","2006","193112","https://au.yachtworld.com/boats/2006/hanse-461-3653283/"
"46 ft 2005 Hanse 461","46","2005","194748","https://au.yachtworld.com/boats/2005/hanse-461-3471208/"
"40 ft 2006 Hanse 400e","40","2006","195383","https://au.yachtworld.com/boats/2006/hanse-400e-3497034/"
"40 ft 2006 Hanse 400e","40","2006","195383","https://au.yachtworld.com/boats/2006/hanse-400e-3463704/"
"47 ft 2008 Hanse 470e","47","2008","196385","https://au.yachtworld.com/boats/2008/hanse-470e-3614737/"
"46 ft 2005 Hanse 461","46","2005","199658","https://au.yachtworld.com/boats/2005/hanse-461-3607449/"
"46 ft 2007 Hanse 470 e","46","2007","204568","https://au.yachtworld.com/boats/2007/hanse-470-e-3601630/"
"43 ft 2009 Hanse 430","43","2009","204568","https://au.yachtworld.com/boats/2009/hanse-430-3550044/"
"39 ft 2006 Hanse 400 Epoxy","39","2006","204568","https://au.yachtworld.com/boats/2006/hanse-400-epoxy-3605012/"
"43 ft 2008 Hanse 430 e","43","2008","206204","https://au.yachtworld.com/boats/2008/hanse-430-e-3520743/"
"40 ft 2006 Hanse 400","40","2006","211074","https://au.yachtworld.com/boats/2006/hanse-400-3590277/"
"46 ft 2008 Hanse 470e","46","2008","211114","https://au.yachtworld.com/boats/2008/hanse-470e-3621569/"
"43 ft 2007 Hanse 430 e","43","2007","211114","https://au.yachtworld.com/boats/2007/hanse-430-e-3619714/"
"46 ft 2008 Hanse 470","46","2008","212750","https://au.yachtworld.com/boats/2008/hanse-470-3566576/"
"46 ft 2006 Hanse 461","46","2006","219297","https://au.yachtworld.com/boats/2006/hanse-461-3155120/"
"43 ft 2007 Hanse 430e","43","2007","227479","https://au.yachtworld.com/boats/2007/hanse-430e-3592754/"
"46 ft 2007 Hanse 470e","46","2007","229116","https://au.yachtworld.com/boats/2007/hanse-470e-3591978/"
"46 ft 2006 Hanse 461","46","2006","234659","https://au.yachtworld.com/boats/2006/hanse-461-3612802/"
"46 ft 2008 Hanse 461","46","2008","253664","https://au.yachtworld.com/boats/2008/hanse-461-3507607/"
"46 ft 2007 Hanse 470e","46","2007","260210","https://au.yachtworld.com/boats/2007/hanse-470e-3246015/"
"46 ft 2007 Hanse 470e","46","2007","261028","https://au.yachtworld.com/boats/2007/hanse-470e-3555098/"
"53 ft 2006 Hanse 531","53","2006","261847","https://au.yachtworld.com/boats/2006/hanse-531-3598547/"
