"model","length","year","price","url"
"41 ft 1994 Hunter Legend 40.5","41","1994","67894","https://au.yachtworld.com/boats/1994/hunter-legend-40-5-3182242/"
"40 ft 1994 Hunter Legend 40.5","40","1994","67894","https://au.yachtworld.com/boats/1994/hunter-legend-40-5-3021956/"
"38 ft 2002 Hunter 386","38","2002","81745","https://au.yachtworld.com/boats/2002/hunter-386-3585903/"
"38 ft 1997 Hunter 376","38","1997","87508","https://au.yachtworld.com/boats/1997/hunter-376-3581763/"
"43 ft 1996 Hunter 430","43","1996","89016","https://au.yachtworld.com/boats/1996/hunter-430-3643463/"
"40 ft 1994 Hunter 40.5","40","1994","89016","https://au.yachtworld.com/boats/1994/hunter-40-5-3240965/"
"40 ft 1996 Hunter Legend 40.5","40","1996","90374","https://au.yachtworld.com/boats/1996/hunter-legend-40-5-3602535/"
"40 ft 1995 Hunter 40.5","40","1995","90510","https://au.yachtworld.com/boats/1995/hunter-40-5-3590170/"
"40 ft 1996 Hunter Legend 40.5","40","1996","97314","https://au.yachtworld.com/boats/1996/hunter-legend-40-5-3648596/"
"40 ft 1993 Hunter 40.5","40","1993","97918","https://au.yachtworld.com/boats/1993/hunter-40-5-3548629/"
"40 ft 1995 Hunter 40.5","40","1995","98069","https://au.yachtworld.com/boats/1995/hunter-40-5-3499123/"
"38 ft 2006 Hunter 38","38","2006","98193","https://au.yachtworld.com/boats/2006/hunter-38-3643664/"
"38 ft 1999 Hunter 380","38","1999","99427","https://au.yachtworld.com/boats/1999/hunter-380-3644699/"
"38 ft 2000 Hunter 380","38","2000","104858","https://au.yachtworld.com/boats/2000/hunter-380-3592160/"
"38 ft 1999 Hunter 380","38","1999","105386","https://au.yachtworld.com/boats/1999/hunter-380-3583261/"
"42 ft 1991 Hunter Passage 42","42","1991","105462","https://au.yachtworld.com/boats/1991/hunter-passage-42-3559823/"
"40 ft 1993 Hunter 40.5","40","1993","105462","https://au.yachtworld.com/boats/1993/hunter-40-5-3613651/"
"40 ft 1995 Hunter Legend","40","1995","105462","https://au.yachtworld.com/boats/1995/hunter-legend-3111368/"
"38 ft 2000 Hunter 380","38","2000","105462","https://au.yachtworld.com/boats/2000/hunter-380-3167509/"
"38 ft 1999 Hunter Legend 380","38","1999","106771","https://au.yachtworld.com/boats/1999/hunter-legend-380-3256089/"
"38 ft 2005 Hunter 38","38","2005","108012","https://au.yachtworld.com/boats/2005/hunter-38-3524408/"
"45 ft 1997 Hunter Passage 450","45","1997","108555","https://au.yachtworld.com/boats/1997/hunter-passage-450-2905399/"
"38 ft 2004 Hunter 386","38","2004","109384","https://au.yachtworld.com/boats/2004/hunter-386-3499259/"
"40 ft 1994 Hunter 40.5 Legend","40","1994","111648","https://au.yachtworld.com/boats/1994/hunter-40-5-legend-3651270/"
"42 ft 1995 Hunter Passage 42","42","1995","112921","https://au.yachtworld.com/boats/1995/hunter-passage-42-3255832/"
"40 ft 1999 Hunter 410","40","1999","112921","https://au.yachtworld.com/boats/1999/hunter-410-3612934/"
"40 ft 1997 Hunter Legend 40.5","40","1997","112936","https://au.yachtworld.com/boats/1997/hunter-legend-40-5-3523581/"
"40 ft 1995 Hunter Legend 40.5","40","1995","112936","https://au.yachtworld.com/boats/1995/hunter-legend-40-5-3525546/"
"38 ft 2001 Hunter 380","38","2001","112936","https://au.yachtworld.com/boats/2001/hunter-380-3205774/"
"41 ft 1996 Hunter 40.5 Legend","41","1996","114665","https://au.yachtworld.com/boats/1996/hunter-40-5-legend-3648774/"
"38 ft 2000 Hunter 380","38","2000","119780","https://au.yachtworld.com/boats/2000/hunter-380-3584413/"
"43 ft 1992 Hunter 43 Legend","43","1992","120549","https://au.yachtworld.com/boats/1992/hunter-legend-43-3552177/"
"38 ft 2002 Hunter 380","38","2002","120549","https://au.yachtworld.com/boats/2002/hunter-380-3148471/"
"41 ft 2000 Hunter 410","41","2000","120700","https://au.yachtworld.com/boats/2000/hunter-410-3527014/"
"40 ft 1993 Hunter Legend 40.5","40","1993","120700","https://au.yachtworld.com/boats/1993/hunter-legend-40-5-3588618/"
"38 ft 1999 Hunter 380","38","1999","125226","https://au.yachtworld.com/boats/1999/hunter-380-3479249/"
"38 ft 2001 Hunter 380","38","2001","125484","https://au.yachtworld.com/boats/2001/hunter-380-3576119/"
"38 ft 2000 Hunter 380","38","2000","127489","https://au.yachtworld.com/boats/2000/hunter-380-3614148/"
"38 ft 2004 Hunter 386","38","2004","127489","https://au.yachtworld.com/boats/2004/hunter-386-3541273/"
"38 ft 2004 Hunter 386","38","2004","125875","https://au.yachtworld.com/boats/2004/hunter-386-3537930/"
"40 ft 1998 Hunter 410","40","1998","128093","https://au.yachtworld.com/boats/1998/hunter-410-3518752/"
"40 ft 1994 Hunter 40.5","40","1994","128093","https://au.yachtworld.com/boats/1994/hunter-40-5-3618840/"
"42 ft 1998 Hunter Passage 42","42","1998","128244","https://au.yachtworld.com/boats/1998/hunter-passage-42-3650830/"
"38 ft 2000 Hunter 380","38","2000","128244","https://au.yachtworld.com/boats/2000/hunter-380-3594593/"
"40 ft 1997 Hunter 40.5 Legend","40","1997","129000","https://au.yachtworld.com/boats/1997/hunter-40-5-legend-3607472/"
"43 ft 1998 Hunter 410","43","1998","129287","https://au.yachtworld.com/boats/1998/hunter-410-3543103/"
"45 ft 1998 Hunter Passage 450","45","1998","134279","https://au.yachtworld.com/boats/1998/hunter-passage-450-3606899/"
"42 ft 1991 Hunter Passage 42","42","1991","134279","https://au.yachtworld.com/boats/1991/hunter-passage-42-3586190/"
"42 ft 1991 Hunter 42 Passage","42","1991","135033","https://au.yachtworld.com/boats/1991/hunter-42-passage-3530760/"
"42 ft 1990 Hunter 42 Passage","42","1990","135184","https://au.yachtworld.com/boats/1990/hunter-42-passage-3612904/"
"42 ft 1991 Hunter 42 Passage","42","1991","135637","https://au.yachtworld.com/boats/1991/hunter-42-passage-3653296/"
"42 ft 1991 Hunter Passage 42","42","1991","135637","https://au.yachtworld.com/boats/1991/hunter-passage-42-3567602/"
"41 ft 2002 Hunter 410","41","2002","135637","https://au.yachtworld.com/boats/2002/hunter-410-3075797/"
"41 ft 1998 Hunter 410","41","1998","137296","https://au.yachtworld.com/boats/1998/hunter-410-3247300/"
"41 ft 1999 Hunter 410","41","1999","138805","https://au.yachtworld.com/boats/1999/hunter-410-3572889/"
"42 ft 1998 Hunter Passage","42","1998","140088","https://au.yachtworld.com/boats/1998/hunter-passage-3652539/"
"40 ft 2004 Hunter Hunter 41","40","2004","140743","https://au.yachtworld.com/boats/2004/hunter-hunter-41-3471103/"
"40 ft 2002 Hunter 410","40","2002","142379","https://au.yachtworld.com/boats/2002/hunter-410-3568024/"
"42 ft 1996 Hunter Passage 42","42","1996","143180","https://au.yachtworld.com/boats/1996/hunter-passage-42-3215448/"
"41 ft 1999 Hunter 410","41","1999","143180","https://au.yachtworld.com/boats/1999/hunter-410-3618471/"
"38 ft 2006 Hunter 38","38","2006","141368","https://au.yachtworld.com/boats/2006/hunter-38-3589193/"
"41 ft 1999 Hunter 410","41","1999","143331","https://au.yachtworld.com/boats/1999/hunter-410-3170310/"
"41 ft 1999 Hunter 410","41","1999","143331","https://au.yachtworld.com/boats/1999/hunter-410-3539984/"
"43 ft 2002 Hunter Legend 420","43","2002","143934","https://au.yachtworld.com/boats/2002/hunter-legend-420-3212398/"
"40 ft 2006 Hunter 41 Deck Salon","40","2006","145652","https://au.yachtworld.com/boats/2006/hunter-41-deck-salon-3583454/"
"40 ft 2006 Hunter 41 DS","40","2006","145652","https://au.yachtworld.com/boats/2006/hunter-41-ds-3535804/"
"41 ft 2002 Hunter 410","41","2002","147045","https://au.yachtworld.com/boats/2002/hunter-410-3468028/"
"42 ft 2002 Hunter 426 Deck Saloon","42","2002","147289","https://au.yachtworld.com/boats/2002/hunter-426-deck-saloon-3598413/"
"40 ft 1999 Hunter 410","40","1999","148300","https://au.yachtworld.com/boats/1999/hunter-410-3591987/"
"41 ft 1998 Hunter 410","41","1998","149366","https://au.yachtworld.com/boats/1998/hunter-410-3570467/"
"40 ft 1994 Hunter Legend 40.5","40","1994","149366","https://au.yachtworld.com/boats/1994/hunter-legend-40-5-3554320/"
"42 ft 1992 Hunter CENTER COCKPIT PASSAGE","42","1992","150121","https://au.yachtworld.com/boats/1992/hunter-center-cockpit-passage-3588593/"
"42 ft 2002 Hunter Passage 420","42","2002","150121","https://au.yachtworld.com/boats/2002/hunter-passage-420-3615586/"
"41 ft 2001 Hunter 410","41","2001","150121","https://au.yachtworld.com/boats/2001/hunter-410-3645963/"
"41 ft 2000 Hunter 410","41","2000","150121","https://au.yachtworld.com/boats/2000/hunter-410-3567507/"
"42 ft 2001 Hunter 420 Passage","42","2001","150724","https://au.yachtworld.com/boats/2001/hunter-passage-420-3600060/"
"41 ft 2004 Hunter 41","41","2004","150952","https://au.yachtworld.com/boats/2004/hunter-41-3605319/"
"41 ft 2005 Hunter 41.","41","2005","150724","https://au.yachtworld.com/boats/2005/hunter-41-3572547/"
"38 ft 2005 Hunter 38","38","2005","150724","https://au.yachtworld.com/boats/2005/hunter-38-3615139/"
"38 ft 2006 Hunter 38","38","2006","150724","https://au.yachtworld.com/boats/2006/hunter-38-3575797/"
"44 ft 1997 Hunter Passage 450","44","1997","150875","https://au.yachtworld.com/boats/1997/hunter-passage-450-3519059/"
"41 ft 2000 Hunter 410","41","2000","155030","https://au.yachtworld.com/boats/2000/hunter-410-3601565/"
"41 ft 2001 Hunter 410","41","2001","156910","https://au.yachtworld.com/boats/2001/hunter-410-2976695/"
"42 ft 1999 Hunter Passage 420","42","1999","158268","https://au.yachtworld.com/boats/1999/hunter-passage-420-3648761/"
"38 ft 2007 Hunter 38","38","2007","158268","https://au.yachtworld.com/boats/2007/hunter-38-3567807/"
"45 ft 1998 Hunter Passage 450","45","1998","158419","https://au.yachtworld.com/boats/1998/hunter-passage-450-3252151/"
"41 ft 1999 Hunter 410","41","1999","158419","https://au.yachtworld.com/boats/1999/hunter-410-3535230/"
"38 ft 2006 Hunter","38","2006","158419","https://au.yachtworld.com/boats/2006/hunter-2898433/"
"38 ft 2006 Hunter 38","38","2006","158567","https://au.yachtworld.com/boats/2006/hunter-38-3598732/"
"40 ft 2004 Hunter 41","40","2004","158745","https://au.yachtworld.com/boats/2004/hunter-41-3535474/"
"46 ft 2002 Hunter 466","46","2002","162018","https://au.yachtworld.com/boats/2002/hunter-466-3641671/"
"46 ft 2001 Hunter 460","46","2001","164454","https://au.yachtworld.com/boats/2001/hunter-460-3508059/"
"42 ft 1993 Hunter 42","42","1993","164454","https://au.yachtworld.com/boats/1993/hunter-42-3584563/"
"38 ft 2007 Hunter 38","38","2007","164454","https://au.yachtworld.com/boats/2007/hunter-38-3547332/"
"38 ft 2006 Hunter 38","38","2006","165812","https://au.yachtworld.com/boats/2006/hunter-38-3482775/"
"41 ft 1998 Hunter 410","41","1998","165961","https://au.yachtworld.com/boats/1998/hunter-410-3512548/"
"38 ft 2006 Hunter 38","38","2006","167112","https://au.yachtworld.com/boats/2006/hunter-38-3576028/"
"43 ft 1998 Hunter 430","43","1998","171001","https://au.yachtworld.com/boats/1998/hunter-430-3649163/"
"41 ft 2004 Hunter 41AC","41","2004","171001","https://au.yachtworld.com/boats/2004/hunter-41-aft-cockpit-3646953/"
"38 ft 2006 Hunter 38","38","2006","171001","https://au.yachtworld.com/boats/2006/hunter-38-3648450/"
"42 ft 2004 Hunter 44DS","42","2004","171837","https://au.yachtworld.com/boats/2004/hunter-44ds-3159949/"
"46 ft 2000 Hunter 460","46","2000","171998","https://au.yachtworld.com/boats/2000/hunter-460-3555147/"
"38 ft 2006 Hunter 380","38","2006","173505","https://au.yachtworld.com/boats/2006/hunter-380-3571679/"
"41 ft 2004 Hunter 41","41","2004","173506","https://au.yachtworld.com/boats/2004/hunter-41-3604572/"
"38 ft 2008 Hunter 38","38","2008","173506","https://au.yachtworld.com/boats/2008/hunter-38-3536291/"
"38 ft 2006 Hunter 38","38","2006","175015","https://au.yachtworld.com/boats/2006/hunter-38-3545089/"
"42 ft 2002 Hunter Passage 420","42","2002","175769","https://au.yachtworld.com/boats/2002/hunter-passage-420-3651933/"
"44 ft 2000 Hunter 460","44","2000","176747","https://au.yachtworld.com/boats/2000/hunter-460-3061756/"
"42 ft 2000 Hunter 420","42","2000","177278","https://au.yachtworld.com/boats/2000/hunter-420-3596669/"
"38 ft 2007 Hunter 38","38","2007","177882","https://au.yachtworld.com/boats/2007/hunter-38-3606609/"
"41 ft 2006 Hunter 41 Deck Salon","41","2006","179541","https://au.yachtworld.com/boats/2006/hunter-41-deck-salon-3487808/"
"41 ft 2000 Hunter 410","41","2000","179541","https://au.yachtworld.com/boats/2000/hunter-410-3196176/"
"38 ft 2005 Hunter 38","38","2005","179541","https://au.yachtworld.com/boats/2005/hunter-38-3532833/"
"38 ft 2008 Hunter 38","38","2008","180296","https://au.yachtworld.com/boats/2008/hunter-38-3508638/"
"38 ft 2006 Hunter 38","38","2006","180899","https://au.yachtworld.com/boats/2006/hunter-38-3607354/"
"38 ft 2009 Hunter 38","38","2009","181050","https://au.yachtworld.com/boats/2009/hunter-38-3241680/"
"38 ft 2006 Hunter 38","38","2006","181382","https://au.yachtworld.com/boats/2006/hunter-38-3583225/"
"42 ft 2004 Hunter 44 Deck Salon","42","2004","187839","https://au.yachtworld.com/boats/2004/hunter-44-deck-salon-3620943/"
"41 ft 2008 Hunter 41","41","2008","187839","https://au.yachtworld.com/boats/2008/hunter-41-3478040/"
"38 ft 2004 Hunter 38","38","2004","187839","https://au.yachtworld.com/boats/2004/hunter-38-3613405/"
"38 ft 2008 Hunter 38","38","2008","190394","https://au.yachtworld.com/boats/2008/hunter-38-3647667/"
"41 ft 2005 Hunter 41","41","2005","193120","https://au.yachtworld.com/boats/2005/hunter-41-3602830/"
"42 ft 2003 Hunter 426 Deck Saloon","42","2003","194629","https://au.yachtworld.com/boats/2003/hunter-426-deck-saloon-3491322/"
"41 ft 2009 Hunter 41 Deck Salon","41","2009","194629","https://au.yachtworld.com/boats/2009/hunter-41-deck-salon-3544690/"
"47 ft 2002 Hunter 466","47","2002","196385","https://au.yachtworld.com/boats/2002/hunter-466-3492386/"
"42 ft 2003 Hunter 426 Deck Salon","42","2003","175415","https://au.yachtworld.com/boats/2003/hunter-426-deck-salon-3649849/"
"41 ft 2008 Hunter 41 Deck Salon","41","2008","199155","https://au.yachtworld.com/boats/2008/hunter-41-deck-salon-3532403/"
"41 ft 2007 Hunter 41 Deck Salon","41","2007","199909","https://au.yachtworld.com/boats/2007/hunter-41-deck-salon-3069921/"
"43 ft 2004 Hunter 44 Deck Salon","43","2004","201418","https://au.yachtworld.com/boats/2004/hunter-44-deck-salon-3567892/"
"45 ft 2000 Hunter Passage 450","45","2000","202776","https://au.yachtworld.com/boats/2000/hunter-passage-450-3567889/"
"44 ft 2006 Hunter 44 Deck Salon","44","2006","203530","https://au.yachtworld.com/boats/2006/hunter-44-deck-salon-3097332/"
"41 ft 2008 Hunter 41","41","2008","204197","https://au.yachtworld.com/boats/2008/hunter-41-3514634/"
"44 ft 2002 Hunter 466","44","2002","204568","https://au.yachtworld.com/boats/2002/hunter-466-3506900/"
"45 ft 1998 Hunter 450 Passage Maker","45","1998","204768","https://au.yachtworld.com/boats/1998/hunter-450-passage-maker-3541256/"
"42 ft 2003 Hunter 420 Passage","42","2003","207453","https://au.yachtworld.com/boats/2003/hunter-passage-420-3556243/"
"44 ft 2005 Hunter 44 AC","44","2005","209716","https://au.yachtworld.com/boats/2005/hunter-44-ac-3612672/"
"44 ft 2006 Hunter 44 DS","44","2006","209716","https://au.yachtworld.com/boats/2006/hunter-44-ds-3494852/"
"46 ft 2002 Hunter 466","46","2002","210471","https://au.yachtworld.com/boats/2002/hunter-466-3573487/"
"44 ft 2004 Hunter 44","44","2004","210471","https://au.yachtworld.com/boats/2004/hunter-44-2895276/"
"41 ft 2005 Hunter 41 Aft Cabin","41","2005","210928","https://au.yachtworld.com/boats/2005/hunter-41-aft-cabin-3594018/"
"42 ft 2004 Hunter Passage 420 CC","42","2004","211074","https://au.yachtworld.com/boats/2004/hunter-passage-420-cc-3574174/"
"41 ft 2004 Hunter 41","41","2004","211074","https://au.yachtworld.com/boats/2004/hunter-41-3196000/"
"43 ft 2007 Hunter 44 Deck Salon","43","2007","208737","https://au.yachtworld.com/boats/2007/hunter-44-deck-salon-3477692/"
"41 ft 2006 Hunter 41 Deck Salon","41","2006","211225","https://au.yachtworld.com/boats/2006/hunter-41-deck-salon-3617248/"
"45 ft 2003 Hunter 46.6","45","2003","212750","https://au.yachtworld.com/boats/2003/hunter-46-6-2664234/"
"43 ft 2004 Hunter 44","43","2004","215104","https://au.yachtworld.com/boats/2004/hunter-44-2892672/"
"44 ft 2006 Hunter 44 Deck Salon","44","2006","215600","https://au.yachtworld.com/boats/2006/hunter-44-deck-salon-3524401/"
"40 ft 2008 Hunter 41 DS","40","2008","215605","https://au.yachtworld.com/boats/2008/hunter-41-ds-3557835/"
"45 ft 2006 Hunter 45 Center Cockpit","45","2006","216746","https://au.yachtworld.com/boats/2006/hunter-45-center-cockpit-3597335/"
"43 ft 2005 Hunter 44 DS","43","2005","218769","https://au.yachtworld.com/boats/2005/hunter-44-ds-3592155/"
