"model","length","year","price","url"
"38 ft 1991 Island Packet 38","38","1991","134279","https://au.yachtworld.com/boats/1991/island-packet-38-3654412/"
"38 ft 1990 Island Packet 38","38","1990","135788","https://au.yachtworld.com/boats/1990/island-packet-38-3517454/"
"38 ft 1990 Island Packet 35 - 38","38","1990","145652","https://au.yachtworld.com/boats/1990/island-packet-35-38-3514104/"
"38 ft 1990 Island Packet 38","38","1990","156156","https://au.yachtworld.com/boats/1990/island-packet-38-3514648/"
"40 ft 1994 Island Packet 40","40","1994","165963","https://au.yachtworld.com/boats/1994/island-packet-40-3526966/"
"38 ft 1991 Island Packet 38","38","1991","173506","https://au.yachtworld.com/boats/1991/island-packet-38-3534031/"
"38 ft 1990 Island Packet 38","38","1990","180899","https://au.yachtworld.com/boats/1990/island-packet-38-3547772/"
"40 ft 1995 Island Packet 40","40","1995","195987","https://au.yachtworld.com/boats/1995/island-packet-40-3529203/"
"38 ft 2000 Island Packet 380","38","2000","203530","https://au.yachtworld.com/boats/2000/island-packet-380-3140445/"
"39 ft 2003 Island Packet 380","39","2003","206204","https://au.yachtworld.com/boats/2003/island-packet-380-3609821/"
"38 ft 1999 Island Packet 380","38","1999","209716","https://au.yachtworld.com/boats/1999/island-packet-380-3558154/"
"39 ft 2001 Island Packet 380","39","2001","215104","https://au.yachtworld.com/boats/2001/island-packet-380-3649690/"
"40 ft 1997 Island Packet 40","40","1997","221786","https://au.yachtworld.com/boats/1997/island-packet-40-3555619/"
"40 ft 1999 Island Packet 40","40","1999","223295","https://au.yachtworld.com/boats/1999/island-packet-40-3599767/"
"40 ft 1994 Island Packet 40","40","1994","223904","https://au.yachtworld.com/boats/1994/island-packet-40-3514205/"
"39 ft 2001 Island Packet 380","39","2001","224804","https://au.yachtworld.com/boats/2001/island-packet-380-3104871/"
"45 ft 1998 Island Packet 45","45","1998","225843","https://au.yachtworld.com/boats/1998/island-packet-45-3114375/"
"40 ft 1996 Island Packet 40","40","1996","226162","https://au.yachtworld.com/boats/1996/island-packet-40-3555609/"
"40 ft 1997 Island Packet IP40 Cutter","40","1997","226162","https://au.yachtworld.com/boats/1997/island-packet-ip40-cutter-3587284/"
"45 ft 1998 Island Packet 45","45","1998","227479","https://au.yachtworld.com/boats/1998/island-packet-45-3229736/"
"45 ft 1998 Island Packet 45","45","1998","229116","https://au.yachtworld.com/boats/1998/island-packet-45-3242683/"
"40 ft 1995 Island Packet 40","40","1995","233705","https://au.yachtworld.com/boats/1995/island-packet-40-3645960/"
"40 ft 1995 Island Packet 40","40","1995","233705","https://au.yachtworld.com/boats/1995/island-packet-40-3520824/"
"44 ft 1994 Island Packet 44","44","1994","233856","https://au.yachtworld.com/boats/1994/island-packet-44-3549799/"
"40 ft 1994 Island Packet 40","40","1994","236874","https://au.yachtworld.com/boats/1994/island-packet-40-3585452/"
"40 ft 1998 Island Packet 40","40","1998","239740","https://au.yachtworld.com/boats/1998/island-packet-40-3651473/"
"38 ft 1999 Island Packet 380","38","1999","239891","https://au.yachtworld.com/boats/1999/island-packet-380-3216877/"
"38 ft 1999 Island Packet 380","38","1999","244267","https://au.yachtworld.com/boats/1999/island-packet-380-3577226/"
"44 ft 1992 Island Packet 44 Cutter Rig","44","1992","248944","https://au.yachtworld.com/boats/1992/island-packet-44-cutter-rig-3244110/"
"40 ft 1998 Island Packet 40","40","1998","248944","https://au.yachtworld.com/boats/1998/island-packet-40-3533079/"
