"model","length","year","price","url"
"42 ft 1990 Moody 425","42","1990","111640","https://au.yachtworld.com/boats/1990/moody-425-2904482/"
"39 ft 1992 Moody Grenadier 119","39","1992","112103","https://au.yachtworld.com/boats/1992/moody-grenadier-119-2882358/"
"41 ft 1990 Moody 425 CC","41","1990","115374","https://au.yachtworld.com/boats/1990/moody-425-cc-3617522/"
"41 ft 1990 Moody 425","41","1990","127107","https://au.yachtworld.com/boats/1990/moody-425-3598025/"
"45 ft 1997 Moody 44","45","1997","129287","https://au.yachtworld.com/boats/1997/moody-44-3524692/"
"40 ft 1998 Moody 40","40","1998","130105","https://au.yachtworld.com/boats/1998/moody-40-3513070/"
"38 ft 1994 Moody 38 CC / 38CC","38","1994","130596","https://au.yachtworld.com/boats/1994/moody-38-cc-38cc-3182826/"
"44 ft 1997 Moody 44","44","1997","146662","https://au.yachtworld.com/boats/1997/moody-44-3653901/"
"38 ft 1995 Moody 38 CC","38","1995","146662","https://au.yachtworld.com/boats/1995/moody-38-cc-3652847/"
"43 ft 1996 Moody 44","43","1996","153506","https://au.yachtworld.com/boats/1996/moody-44-3564263/"
"38 ft 1995 Moody 38 CC","38","1995","156342","https://au.yachtworld.com/boats/1995/moody-38-cc-3604923/"
"44 ft 1994 Moody 44","44","1994","174039","https://au.yachtworld.com/boats/1994/moody-44-3599978/"
"40 ft 1998 Moody 40","40","1998","172821","https://au.yachtworld.com/boats/1998/moody-40-3603046/"
"43 ft 1997 Moody 44-2","43","1997","181050","https://au.yachtworld.com/boats/1997/moody-44-2-3644817/"
"43 ft 1993 Moody 44","43","1993","185674","https://au.yachtworld.com/boats/1993/moody-44-3603830/"
"42 ft 1994 Moody 44 CC","42","1994","196385","https://au.yachtworld.com/boats/1994/moody-44-cc-3564013/"
"42 ft 2000 Moody 42","42","2000","248944","https://au.yachtworld.com/boats/2000/moody-42-3528880/"
"45 ft 1999 Moody 46","45","1999","293759","https://au.yachtworld.com/boats/1999/moody-46-3549346/"
"46 ft 1999 Moody 46","46","1999","294496","https://au.yachtworld.com/boats/1999/moody-46-3542072/"
"46 ft 1999 Moody 46","46","1999","294578","https://au.yachtworld.com/boats/1999/moody-46-3513801/"
"46 ft 2000 Moody 46CC","46","2000","291268","https://au.yachtworld.com/boats/2000/moody-46cc-3595402/"
"46 ft 2004 Moody 47","46","2004","327308","https://au.yachtworld.com/boats/2004/moody-47-3525207/"
"46 ft 1999 Moody 46","46","1999","340000","https://au.yachtworld.com/boats/1999/moody-46-3616798/"
"47 ft 2003 Moody 47","47","2003","347100","https://au.yachtworld.com/boats/2003/moody-47-3554301/"
"46 ft 2000 Moody 46","46","2000","361346","https://au.yachtworld.com/boats/2000/moody-46-3244082/"
"46 ft 2001 Moody 46","46","2001","368222","https://au.yachtworld.com/boats/2001/moody-46-3495993/"
"54 ft 2002 Moody 2002","54","2002","409135","https://au.yachtworld.com/boats/2002/moody-2002-3513725/"
"46 ft 2009 Moody 45 Classic","46","2009","414906","https://au.yachtworld.com/boats/2009/moody-45-classic-3653821/"
"55 ft 2003 Moody 54","55","2003","450049","https://au.yachtworld.com/boats/2003/moody-54-3581858/"
"53 ft 2001 Moody 54","53","2001","454140","https://au.yachtworld.com/boats/2001/moody-54-2953706/"
"53 ft 2003 Moody 54","53","2003","472961","https://au.yachtworld.com/boats/2003/moody-54-3506377/"
"53 ft 2001 Moody 54","53","2001","474597","https://au.yachtworld.com/boats/2001/moody-54-2907839/"
"53 ft 2001 Moody 54","53","2001","482780","https://au.yachtworld.com/boats/2001/moody-54-2867479/"
"54 ft 2001 Moody 54","54","2001","499000","https://au.yachtworld.com/boats/2001/moody-54-3502391/"
"53 ft 2003 Moody 54 DS","53","2003","505691","https://au.yachtworld.com/boats/2003/moody-54-ds-3647901/"
"54 ft 2000 Moody 54","54","2000","522057","https://au.yachtworld.com/boats/2000/moody-54-3495285/"
"54 ft 2000 Marine Projects Moody 54","54","2000","531876","https://au.yachtworld.com/boats/2000/marine-projects-moody-54-3213222/"
"45 ft 2010 Moody 45 DS","45","2010","531876","https://au.yachtworld.com/boats/2010/moody-45-ds-3592360/"
"45 ft 2010 Moody 45 DS e","45","2010","548242","https://au.yachtworld.com/boats/2010/moody-45-ds-e-2360269/"
"55 ft 2004 Moody 56","55","2004","556424","https://au.yachtworld.com/boats/2004/moody-56-3653087/"
"55 ft 2004 Princess Moody 56","55","2004","556424","https://au.yachtworld.com/boats/2004/princess-moody-56-3653163/"
"45 ft 2010 Moody 45 DS","45","2010","589155","https://au.yachtworld.com/boats/2010/moody-45-ds-3244634/"
"58 ft 2004 Moody Boats Moody Boats Moody 56'","58","2004","654617","https://au.yachtworld.com/boats/2004/moody-boats-moody-boats-moody-56--3644855/"
"54 ft 2002 Moody 54","54","2002","656307","https://au.yachtworld.com/boats/2002/moody-54-2301503/"
"54 ft 2002 Moody Centercockpit Deck Salon","54","2002","678862","https://au.yachtworld.com/boats/2002/moody-centercockpit-deck-salon-3521458/"
