"model","length","year","price","url"
"42 ft 1993 Najad 420","42","1993","195549","https://au.yachtworld.com/boats/1993/najad-420-3566337/"
"39 ft 1991 Najad 390","39","1991","195549","https://au.yachtworld.com/boats/1991/najad-390-3615093/"
"41 ft 1990 Najad Aphrodite 42","41","1990","204568","https://au.yachtworld.com/boats/1990/najad-aphrodite-42-3607122/"
"40 ft 1990 Najad 390","40","1990","237299","https://au.yachtworld.com/boats/1990/najad-390-3576954/"
"44 ft 1995 Najad 441","44","1995","256363","https://au.yachtworld.com/boats/1995/najad-441-3587718/"
"39 ft 1999 Najad 391","39","1999","248804","https://au.yachtworld.com/boats/1999/najad-391-3238164/"
"39 ft 1998 Najad 391","39","1998","260210","https://au.yachtworld.com/boats/1998/najad-391-3556333/"
"53 ft 1991 Najad 520","53","1991","263991","https://au.yachtworld.com/boats/1991/najad-520-3598350/"
"39 ft 1999 Najad 391","39","1999","278212","https://au.yachtworld.com/boats/1999/najad-391-3614351/"
"54 ft 1996 Najad Najad 520","54","1996","324035","https://au.yachtworld.com/boats/1996/najad-najad-520-3649733/"
"44 ft 2001 Najad 441","44","2001","326490","https://au.yachtworld.com/boats/2001/najad-441-3580588/"
"38 ft 2005 Najad 380","38","2005","342211","https://au.yachtworld.com/boats/2005/najad-380-3227094/"
"49 ft 2000 Najad 490","49","2000","376405","https://au.yachtworld.com/boats/2000/najad-490-3232799/"
"49 ft 2000 Najad 490","49","2000","376405","https://au.yachtworld.com/boats/2000/najad-490-3529442/"
"44 ft 2007 Najad 440 AC","44","2007","458232","https://au.yachtworld.com/boats/2007/najad-440-ac-3517962/"
"44 ft 2007 Najad 440AC","44","2007","458232","https://au.yachtworld.com/boats/2007/najad-440ac-3607905/"
"45 ft 2001 Najad 460","45","2001","504517","https://au.yachtworld.com/boats/2001/najad-460-3603148/"
"45 ft 2001 Najad 460","45","2001","508428","https://au.yachtworld.com/boats/2001/najad-460-3605362/"
"45 ft 2002 Najad 460","45","2002","515511","https://au.yachtworld.com/boats/2002/najad-460-3595389/"
"45 ft 2004 Najad 460","45","2004","523970","https://au.yachtworld.com/boats/2004/najad-460-3467555/"
"45 ft 2003 Najad 460","45","2003","553151","https://au.yachtworld.com/boats/2003/najad-460-3556428/"
"45 ft 2003 Najad 460","45","2003","567093","https://au.yachtworld.com/boats/2003/najad-460-3566173/"
"44 ft 2009 Najad 440 AC","44","2009","571153","https://au.yachtworld.com/boats/2009/najad-440-ac-3606457/"
"51 ft 1997 Najad 520 DS","51","1997","580972","https://au.yachtworld.com/boats/1997/najad-520-ds-3241171/"
"50 ft 2004 Najad 511","50","2004","621886","https://au.yachtworld.com/boats/2004/najad-511-3605037/"
"50 ft 2005 Najad 511","50","2005","646434","https://au.yachtworld.com/boats/2005/najad-511-3607549/"
"50 ft 2005 Najad 511","50","2005","695530","https://au.yachtworld.com/boats/2005/najad-511-3500562/"
"51 ft 1998 Najad 520 DS","51","1998","744627","https://au.yachtworld.com/boats/1998/najad-520-ds-3151823/"
"58 ft 2007 Najad 570","58","2007","1060930","https://au.yachtworld.com/boats/2007/najad-570-3569695/"
"50 ft 2008 Najad 505","50","2008","1145244","https://au.yachtworld.com/boats/2008/najad-505-3213783/"
