"model","length","year","price","url"
"43 ft 1990 Oyster 435 C/C Sloop","43","1990","270821","https://au.yachtworld.com/boats/1990/oyster-435-c-c-sloop-3603589/"
"42 ft 1999 Oyster 42","42","1999","292346","https://au.yachtworld.com/boats/1999/oyster-42-3491624/"
"49 ft 2003 Oyster 49","49","2003","293226","https://au.yachtworld.com/boats/2003/oyster-49-3237460/"
"48 ft 1995 Oyster 485","48","1995","293324","https://au.yachtworld.com/boats/1995/oyster-485-3147757/"
"46 ft 1990 Oyster 46 Center Cockpit","46","1990","301599","https://au.yachtworld.com/boats/1990/oyster-46-center-cockpit-2272297/"
"45 ft 1996 Oyster 45","45","1996","322558","https://au.yachtworld.com/boats/1996/oyster-45-3511579/"
"48 ft 1999 Oyster 485 Deck Saloon","48","1999","339469","https://au.yachtworld.com/boats/1999/oyster-485-deck-saloon-3590029/"
"44 ft 1996 Oyster 45","44","1996","343995","https://au.yachtworld.com/boats/1996/oyster-45-3619307/"
"60 ft 1995 Oyster 61 Deck Saloon","60","1995","360039","https://au.yachtworld.com/boats/1995/oyster-61-deck-saloon-3604804/"
"45 ft 1997 Oyster 45 Deck Saloon","45","1997","389143","https://au.yachtworld.com/boats/1997/oyster-45-deck-saloon-2971105/"
"45 ft 1998 Oyster 45","45","1998","420431","https://au.yachtworld.com/boats/1998/oyster-45-3535296/"
"55 ft 1993 Oyster 55","55","1993","451116","https://au.yachtworld.com/boats/1993/oyster-55-3521286/"
"52 ft 1999 Oyster 53","52","1999","458232","https://au.yachtworld.com/boats/1999/oyster-53-3054871/"
"45 ft 2000 Oyster 45","45","2000","486917","https://au.yachtworld.com/boats/2000/oyster-45-3528252/"
"45 ft 2002 Oyster 45","45","2002","488775","https://au.yachtworld.com/boats/2002/oyster-45-3579665/"
"55 ft 1996 Oyster Center Cockpit Cutter","55","1996","527912","https://au.yachtworld.com/boats/1996/oyster-center-cockpit-cutter-3549613/"
"55 ft 1995 Oyster 55 Sloop","55","1995","572790","https://au.yachtworld.com/boats/1995/oyster-55-sloop-2394245/"
"55 ft 1995 Oyster 55","55","1995","595957","https://au.yachtworld.com/boats/1995/oyster-55-2870269/"
"55 ft 1998 Oyster 55","55","1998","626796","https://au.yachtworld.com/boats/1998/oyster-55-3609983/"
"57 ft 1998 Oyster 56","57","1998","638251","https://au.yachtworld.com/boats/1998/oyster-56-3581863/"
"53 ft 2004 Oyster 53 Deck Saloon","53","2004","662342","https://au.yachtworld.com/boats/2004/oyster-53-deck-saloon-3573609/"
"53 ft 2001 Oyster 53 Deck Saloon","53","2001","662342","https://au.yachtworld.com/boats/2001/oyster-53-deck-saloon-3215350/"
"46 ft 2007 Oyster 46","46","2007","780241","https://au.yachtworld.com/boats/2007/oyster-46-3550848/"
"46 ft 2006 Oyster 46","46","2006","799638","https://au.yachtworld.com/boats/2006/oyster-46-3554466/"
"53 ft 2005 Oyster Oyster 53 Raised Salon","53","2005","829798","https://au.yachtworld.com/boats/2005/oyster-oyster-53-raised-salon-3578977/"
"56 ft 2001 Oyster 56","56","2001","928859","https://au.yachtworld.com/boats/2001/oyster-56-3570786/"
"57 ft 2002 Oyster 56","57","2002","967968","https://au.yachtworld.com/boats/2002/oyster-56-3559240/"
"49 ft 2004 Oyster 49","49","2004","978652","https://au.yachtworld.com/boats/2004/oyster-49-3488273/"
"56 ft 2006 Oyster 56","56","2006","980688","https://au.yachtworld.com/boats/2006/oyster-56-3570091/"
"56 ft 2003 Oyster 56","56","2003","1007078","https://au.yachtworld.com/boats/2003/oyster-56-3570420/"
"56 ft 2002 Oyster 56","56","2002","1026633","https://au.yachtworld.com/boats/2002/oyster-56-2454790/"
"56 ft 2002 Oyster 56","56","2002","1075521","https://au.yachtworld.com/boats/2002/oyster-56-2993815/"
"57 ft 2007 Oyster 56","57","2007","1124408","https://au.yachtworld.com/boats/2007/oyster-56-3229213/"
"54 ft 2009 Oyster 54","54","2009","1134185","https://au.yachtworld.com/boats/2009/oyster-54-2735456/"
"53 ft 2008 Oyster 54","53","2008","1163518","https://au.yachtworld.com/boats/2008/oyster-54-3594876/"
"54 ft 2010 Oyster 54","54","2010","1169282","https://au.yachtworld.com/boats/2010/oyster-54-3652545/"
"56 ft 2009 Oyster 56","56","2009","1222182","https://au.yachtworld.com/boats/2009/oyster-56-2746542/"
"59 ft 2010 Oyster 575","59","2010","1417732","https://au.yachtworld.com/boats/2010/oyster-575-3649888/"
"59 ft 2007 Oyster 655","59","2007","1857717","https://au.yachtworld.com/boats/2007/oyster-655-2406855/"
