"model","length","year","price","url"
"39 ft 1993 Wauquiez Centurion 40","39","1993","88373","https://au.yachtworld.com/boats/1993/wauquiez-centurion-40-3588900/"
"42 ft 1997 Wauquiez Centurion 41s","42","1997","95197","https://au.yachtworld.com/boats/1997/wauquiez-centurion-41s-3530213/"
"44 ft 1990 Wauquiez Centurion 45","44","1990","109648","https://au.yachtworld.com/boats/1990/wauquiez-centurion-45-3045015/"
"42 ft 1990 Wauquiez Centurion 42","42","1990","109648","https://au.yachtworld.com/boats/1990/wauquiez-centurion-42-3494726/"
"41 ft 1995 Wauquiez Centurion 41s","41","1995","114228","https://au.yachtworld.com/boats/1995/wauquiez-centurion-41s-3500059/"
"49 ft 1995 Wauquiez Centurion","49","1995","149366","https://au.yachtworld.com/boats/1995/wauquiez-centurion-2955549/"
"45 ft 1998 Wauquiez 41s","45","1998","155471","https://au.yachtworld.com/boats/1998/wauquiez-41s-2621597/"
"44 ft 1991 Wauquiez amphititre MS 45","44","1991","162018","https://au.yachtworld.com/boats/1991/wauquiez-amphititre-ms-45-3581857/"
"49 ft 1995 Wauquiez Centurion 49","49","1995","176747","https://au.yachtworld.com/boats/1995/wauquiez-centurion-49-3220854/"
"50 ft 1995 Wauquiez Centurion 49","50","1995","179692","https://au.yachtworld.com/boats/1995/wauquiez-centurion-49-3648569/"
"40 ft 2005 Wauquiez Centurion 40s","40","2005","188202","https://au.yachtworld.com/boats/2005/wauquiez-centurion-40s-3490032/"
"41 ft 2005 Wauquiez Centurion 40s","41","2005","196385","https://au.yachtworld.com/boats/2005/wauquiez-centurion-40s-3484955/"
"41 ft 2004 Wauquiez Centurion 40s","41","2004","201295","https://au.yachtworld.com/boats/2004/wauquiez-centurion-40s-3595361/"
"41 ft 2005 Wauquiez Centurion 40s","41","2005","204568","https://au.yachtworld.com/boats/2005/wauquiez-centurion-40s-3601743/"
"40 ft 2005 Wauquiez Centurion 40s","40","2005","204568","https://au.yachtworld.com/boats/2005/wauquiez-centurion-40s-3614357/"
"40 ft 2005 Wauquiez Centurion 40s","40","2005","211114","https://au.yachtworld.com/boats/2005/wauquiez-centurion-40s-3055595/"
"41 ft 2005 Wauquiez Pilot Saloon 40","41","2005","222926","https://au.yachtworld.com/boats/2005/wauquiez-pilot-saloon-40-3614028/"
"41 ft 2004 Wauquiez Centurion 40s","41","2004","223295","https://au.yachtworld.com/boats/2004/wauquiez-centurion-40s-3607328/"
"40 ft 2004 Wauquiez Pilot Saloon 40","40","2004","226162","https://au.yachtworld.com/boats/2004/wauquiez-pilot-saloon-40-3580621/"
"41 ft 2005 Wauquiez Pilot Saloon 40","41","2005","227479","https://au.yachtworld.com/boats/2005/wauquiez-pilot-saloon-40-3495628/"
"40 ft 2003 Wauquiez 40 PS","40","2003","227479","https://au.yachtworld.com/boats/2003/wauquiez-40-ps-3602094/"
"40 ft 2006 Wauquiez Centurion 40s","40","2006","229116","https://au.yachtworld.com/boats/2006/wauquiez-centurion-40s-3253311/"
